side,bucket,indicator,indicator_bucket,grp_trades,avg_pips,pivot_first_rate,base_avg_pips,base_pivot_first
SELL,10-15%,rsi_band,RSI_95_100,34,9.964656862745498,0.9411764705882352,2.52392276422757,0.8292682926829268
SELL,10-15%,rsi_band,RSI_80_90,40,9.528750000000072,0.95,2.52392276422757,0.8292682926829268
SELL,10-15%,atr_bucket,ATR_Q5,65,9.214641025640784,0.8615384615384616,2.52392276422757,0.8292682926829268
SELL,10-15%,bbz_band,BBZ_1.5_2.0,37,6.1358108108107965,0.8648648648648649,2.52392276422757,0.8292682926829268
SELL,10-15%,wr_band,WR_-20_-10,59,3.688559322033849,0.847457627118644,2.52392276422757,0.8292682926829268
SELL,15-20%,bbz_band,BBZ_1.5_2.0,51,8.790359477123955,0.8627450980392157,2.245780669145008,0.7397769516728625
SELL,15-20%,rsi_band,RSI_95_100,49,6.14295918367327,0.8163265306122449,2.245780669145008,0.7397769516728625
SELL,15-20%,atr_bucket,ATR_Q5,60,5.701694444444802,0.8,2.245780669145008,0.7397769516728625
SELL,15-20%,rsi_band,RSI_20_80,121,3.3086363636364764,0.7603305785123967,2.245780669145008,0.7397769516728625
SELL,15-20%,atr_bucket,ATR_Q4,75,3.2725777777777503,0.7333333333333333,2.245780669145008,0.7397769516728625
SELL,20-25%,wr_band,WR_-20_-10,37,16.550405405405336,0.7837837837837838,1.2568815663803234,0.6131805157593123
SELL,20-25%,bbz_band,BBZ_2.0_2.5,34,13.55838235294117,0.7352941176470589,1.2568815663803234,0.6131805157593123
SELL,20-25%,rsi_band,RSI_95_100,72,6.734120370370295,0.7083333333333334,1.2568815663803234,0.6131805157593123
SELL,20-25%,atr_bucket,ATR_Q5,109,5.23027522935794,0.6330275229357798,1.2568815663803234,0.6131805157593123
SELL,20-25%,rsi_band,RSI_20_80,142,1.7323708920190457,0.6267605633802817,1.2568815663803234,0.6131805157593123
SELL,30-35%,rsi_band,RSI_80_90,44,6.017651515151647,0.5454545454545454,0.8569625246548408,0.4792899408284023
SELL,30-35%,bbz_band,BBZ_-1.5_1.5,105,5.419984126984168,0.5142857142857142,0.8569625246548408,0.4792899408284023
SELL,30-35%,wr_band,WR_-80_-20,76,3.4730701754385094,0.4868421052631579,0.8569625246548408,0.4792899408284023
SELL,30-35%,atr_bucket,ATR_Q5,50,3.414333333333076,0.48,0.8569625246548408,0.4792899408284023
SELL,30-35%,rsi_band,RSI_20_80,61,0.9116120218580626,0.4754098360655737,0.8569625246548408,0.4792899408284023
