sl_mult,tp_mult,cal_ppd,buy_cal_ppd,sell_cal_ppd,total_pips,initial_entries,no_touch_days,legs_closed
0.16,0.7,-2.4858,-1.1878,-1.298,-7263.5906,2032,884,4064
0.16,0.4,-2.4969,-1.2122,-1.2847,-7295.8441,2032,884,4064
0.16,0.55,-2.5068,-1.2085,-1.2982,-7324.756,2032,884,4064
0.2,0.3,-2.5526,-1.1276,-1.425,-7458.8322,2032,884,4064
0.4,0.08,-2.6574,-1.1978,-1.4595,-7764.8575,2032,884,4064
0.2,0.4,-2.7141,-1.2047,-1.5094,-7930.6225,2032,884,4064
0.2,1.0,-2.7854,-1.2149,-1.5705,-8138.8496,2032,884,4064
0.2,0.7,-2.793,-1.2205,-1.5725,-8161.0727,2032,884,4064
0.2,0.55,-2.7953,-1.2296,-1.5657,-8167.8862,2032,884,4064
0.5,0.08,-2.8212,-1.2224,-1.5989,-8243.6783,2032,884,4064
