pair,date,leg,entry,exit,reason,pips,atr_pips,dist_pips
USDJPY,2022-01-01,BUY,115.097,115.347718,TP,23.0718,38.57196,25.071774
USDJPY,2022-01-01,SELL,115.097,115.257718,SL,-18.0718,38.57196,25.071774
USDJPY,2022-01-02,BUY,115.091,115.323809,TP,21.2809,35.81682,23.280933
USDJPY,2022-01-02,SELL,115.091,115.239809,SL,-16.8809,35.81682,23.280933
USDJPY,2022-01-03,BUY,115.101,114.950995,SL,-17.0005,34.308476,22.300509
USDJPY,2022-01-03,SELL,115.101,115.169005,SL,-8.8005,34.308476,22.300509
USDJPY,2022-01-04,BUY,115.214,115.440576,TP,20.6576,34.85787,22.657616
USDJPY,2022-01-04,SELL,115.214,115.403576,SL,-20.9576,34.85787,22.657616
USDJPY,2022-01-05,BUY,115.937667,115.940254,BOTH_SL,-1.7412,39.96088,25.974572
USDJPY,2022-01-05,SELL,115.937667,116.165746,SL,-24.8079,39.96088,25.974572
USDJPY,2022-01-06,BUY,115.994667,115.826929,SL,-18.7738,41.549388,27.007102
USDJPY,2022-01-06,SELL,115.994667,115.724596,TP,25.0071,41.549388,27.007102
USDJPY,2022-01-07,BUY,115.890333,115.769266,SL,-14.1067,42.574432,27.673381
USDJPY,2022-01-07,SELL,115.890333,115.6136,TP,25.6734,42.574432,27.673381
USDJPY,2022-01-08,BUY,115.694,115.567008,SL,-14.6992,43.383401,28.199211
USDJPY,2022-01-08,SELL,115.694,115.578992,BOTH_SL,9.5008,43.383401,28.199211
USDJPY,2022-01-09,BUY,115.529,115.79085,TP,24.185,40.284587,26.184981
USDJPY,2022-01-09,SELL,115.529,115.79085,SL,-28.185,40.284587,26.184981
USDJPY,2022-01-10,BUY,115.605,115.599493,SL,-2.5507,38.385688,24.950697
USDJPY,2022-01-10,SELL,115.605,115.793507,SL,-20.8507,38.385688,24.950697
USDJPY,2022-01-11,BUY,115.389,115.658199,TP,24.9199,41.415281,26.919933
USDJPY,2022-01-11,SELL,115.389,115.568199,SL,-19.9199,41.415281,26.919933
USDJPY,2022-01-12,BUY,115.378667,115.195261,SL,-20.3405,42.421333,27.573866
USDJPY,2022-01-12,SELL,115.378667,115.388739,SL,-3.0072,42.421333,27.573866
USDJPY,2022-01-13,BUY,114.840667,114.749257,SL,-11.141,47.191237,30.674304
USDJPY,2022-01-13,SELL,114.840667,115.008743,SL,-18.8076,47.191237,30.674304
USDJPY,2022-01-14,BUY,114.270333,114.587713,TP,29.7379,48.827578,31.737925
USDJPY,2022-01-14,SELL,114.270333,114.531379,SL,-28.1046,48.827578,31.737925
USDJPY,2022-01-15,BUY,113.977333,113.899844,SL,-9.7489,50.947036,33.115574
USDJPY,2022-01-15,SELL,113.977333,113.646178,TP,31.1156,50.947036,33.115574
USDJPY,2022-01-16,BUY,114.187,114.494502,TP,28.7502,47.307962,30.750176
USDJPY,2022-01-16,SELL,114.187,114.426502,SL,-25.9502,47.307962,30.750176
USDJPY,2022-01-17,BUY,114.255333,114.255248,SL,-2.0085,45.500251,29.575163
USDJPY,2022-01-17,SELL,114.255333,114.500752,SL,-26.5418,45.500251,29.575163
USDJPY,2022-01-18,BUY,114.498667,114.538963,BOTH_SL,2.0296,44.928804,29.203723
USDJPY,2022-01-18,SELL,114.498667,114.740037,SL,-26.1371,44.928804,29.203723
USDJPY,2022-01-19,BUY,114.686667,114.487594,SL,-21.9073,46.062461,29.9406
USDJPY,2022-01-19,SELL,114.686667,114.387261,TP,27.9406,46.062461,29.9406
USDJPY,2022-01-20,BUY,114.446333,114.240959,SL,-22.5375,46.929428,30.504128
USDJPY,2022-01-20,SELL,114.446333,114.141292,TP,28.5041,46.929428,30.504128
USDJPY,2022-01-21,BUY,114.132,113.839805,SL,-31.2195,48.491612,31.519548
USDJPY,2022-01-21,SELL,114.132,113.816805,TP,29.5195,48.491612,31.519548
