date,net_pips
2003-10-03,120.84077530662876
2003-10-10,119.4629427516636
2003-10-31,-73.78860182806142
2003-11-05,90.84942492360051
2003-11-06,91.17875171477203
2003-11-11,-67.7854385398499
2004-03-25,139.88093072768686
2004-03-29,-97.69199781568238
2004-04-03,139.6822656639946
2004-04-05,-98.35966600162982
2004-04-06,-98.10540414436934
2004-08-28,-69.82643070548227
2004-08-30,-62.78738157768464
2004-11-20,-58.82976764276384
2005-01-15,86.9243628420113
2005-01-18,-59.891666619169314
2005-01-19,-62.73511900351514
2005-04-26,67.33328855074683
2005-04-28,69.94967227079678
2005-04-29,70.92683853716915
2005-04-30,79.9332072130843
2005-05-07,-59.79714701704586
2005-06-01,67.36329699509065
2005-06-02,71.25520435258659
2005-06-04,74.49018130401635
2005-06-06,65.77916653254385
2005-06-07,-53.34940466610283
2005-06-08,-53.21016147566786
2005-06-17,-57.51785253703849
2005-06-20,72.54571488011459
2005-06-23,74.16035189198931
2005-06-24,-61.33596563713388
2005-10-04,-47.9611756049261
2006-02-08,-52.916295863415485
2007-03-06,-81.144115614263
2008-01-04,107.80058314334349
2008-01-06,-87.41470224524426
2009-01-02,330.6644045469175
2009-01-07,268.9949718261706
2009-01-09,258.9833940746066
2009-01-10,267.22565164070653
2009-01-12,236.2817353432623
2009-01-13,235.4530399616001
2009-01-14,-181.69502854399957
2009-01-15,-184.71324079085696
2009-01-21,230.62983861768112
2009-09-28,-82.00722467878256
2009-10-02,112.9501993249155
2009-10-04,110.5965494179136
2009-10-08,-82.76258774238647
2009-11-27,-105.70675411988282
2009-12-30,-72.45739538251803
2010-01-06,-70.82955050802389
2010-01-22,117.26461047081978
2010-01-27,117.63597867618836
2010-01-29,121.1971958993663
2010-01-30,-97.73371135668987
2010-01-31,-91.49916054549811
2010-02-05,135.53632046235487
2010-02-26,-101.27553796354454
2010-03-09,111.6782896085146
2010-03-16,-86.48361619076701
2010-05-06,138.21442761809288
2010-05-30,-153.4374868016281
2010-06-10,-137.7981658895289
2010-06-21,131.5282352042521
2010-06-29,115.31180696853676
2010-06-30,-96.82986212038378
2010-07-05,-88.83510655207607
2010-07-06,-87.83617036978433
2010-08-25,-78.08082607625215
2010-11-24,100.23641646828787
2010-11-30,93.22900463121238
2010-12-01,-80.03143187943726
2010-12-29,-60.912739721184494
2011-01-08,-70.6118568052043
2011-01-11,-62.67456246393357
2011-03-17,-102.84227167076045
2011-05-14,-104.32963763384129
2011-05-16,-93.17938142917887
2011-06-23,95.02166404658021
2011-06-27,-68.72567625737622
2011-07-12,97.14865413610505
2011-07-13,-87.27118152578959
2011-08-03,-86.97841310361787
2011-08-11,-110.1825591372995
2011-08-29,-72.22169254723758
2011-08-31,92.59884618687886
2011-09-02,94.56598472236004
2011-09-03,94.43484295647602
2011-09-04,87.98206845958612
2011-09-05,84.62920642675778
2011-09-07,91.30263207205098
2011-09-09,93.15304500090116
2011-09-10,103.99732750083695
2011-09-12,95.94565993694653
2011-09-22,102.34353598222066
2011-09-23,109.00835484063316
2011-09-29,-85.38401394301565
2011-10-04,-84.76171533613928
2011-12-14,79.5246208911143
2011-12-15,-62.172586350795655
2011-12-27,54.83794636917787
2011-12-29,55.55280579791366
2011-12-31,60.28415397881355
2012-01-01,-45.29939569915291
2012-01-03,-43.50942792426855
2012-01-05,58.65509854572417
2012-01-06,60.10752007817268
2012-01-07,61.87219721544659
2012-01-09,-46.01808998983705
2012-01-14,66.53931711410246
2012-01-16,-47.96862869813003
2012-02-01,73.24518761011711
2012-02-06,-55.36619232932287
2012-05-05,79.79191918779145
2012-05-07,-60.742905583739514
2012-05-10,79.92575497001349
2012-05-15,71.24393885747276
2012-05-16,71.43965751051036
2012-05-18,78.40947509834757
2012-05-24,79.1157392310742
2012-05-29,70.83964516333106
2012-05-30,72.23424193737793
2012-05-31,77.27972465613726
2012-06-01,81.56181575212764
2012-06-27,94.19735683090431
2012-06-29,-72.37753259192579
2012-07-03,93.03784269224786
2012-07-05,91.18425721933556
2012-07-06,94.66816741795492
2012-07-09,86.79483338821024
2012-07-11,83.69479001330313
2012-07-21,77.6527354961251
2012-07-23,69.75870560635309
2012-07-25,-57.04322310625491
2013-04-04,-93.84016248877691
2014-01-31,88.88995206087793
2014-02-01,95.42374119938495
2014-02-04,-71.05634206522018
2014-02-27,77.13163333609907
2014-05-10,-50.34465395943164
2014-05-15,58.129031782379116
2014-05-16,59.69702951220961
2014-05-17,59.64502740419471
2014-05-21,54.20090185576976
2014-05-28,46.73781701050552
2014-05-29,48.488972938326015
2014-06-12,-41.066880063872645
2014-06-13,-41.264960059309374
2014-06-27,-33.59781351160598
2014-07-08,33.83811159447612
2014-07-09,-28.05436542462678
2014-07-11,-32.552131412050244
2014-07-17,38.47856930407454
2014-07-18,41.07317149663936
2014-07-23,37.76205562879704
2014-08-07,-32.638331366633565
2014-08-29,-33.44242216543398
2014-09-01,-30.408688592369003
2014-10-13,-50.107648464806175
2014-10-15,68.87727228427332
2015-01-06,81.66339988656455
2015-01-07,89.44787132324075
2015-01-10,90.07892977301617
2015-01-13,81.20535375776876
2015-01-14,89.59454277507086
2015-01-16,115.02546800503433
2015-01-23,119.10113825830047
2015-01-24,136.16498552556402
2015-01-26,-100.90177611389583
2015-02-23,107.29450539794152
2015-02-24,107.1901835838039
2015-02-25,106.59281332781825
2015-02-27,107.57424720612983
2015-03-02,-72.59009029823551
2015-03-05,91.6822769317738
2015-03-06,94.72111429378936
2015-03-11,97.47321641928204
2015-03-12,105.62991524647794
2015-03-14,-88.86570909204983
2015-04-09,93.54817689476727
2015-04-14,90.19514426241437
2015-04-20,87.91463225345149
2015-09-04,97.94493984641883
2015-09-05,-78.62995703315596
2015-10-16,-62.96280914233796
2015-10-19,-55.92438836942881
2015-10-20,-56.35121777161294
2015-10-29,77.17590720867713
2015-11-16,-57.92042422563475
2015-11-25,65.03269773922591
2016-01-05,62.89057685287867
2016-01-06,71.05396422052956
2016-01-21,72.81358141175411
2016-02-17,93.87997977806799
