date,side,trigger_idx,best_toward_pivot_coord,before_max_away_from_pivot,after_max_away_from_pivot,full_day_max_away_from_pivot
2003-08-05,SELL,0,0.16430446194226583,0.2866141732283422,0.4818897637795157,0.4818897637795157
2003-08-06,SELL,12,0.3991334958028692,0.22962361223937638,0.3912808015163976,0.3912808015163976
2003-08-07,BUY,1,0.02158273381293556,0.22610483042137294,1.257965056526209,1.257965056526209
2003-08-08,BUY,0,-0.12208835341364357,0.22811244979918938,1.1100401606425703,1.1100401606425703
2003-08-11,BUY,0,1.9090909090909913,1.0,5.045454545454504,5.045454545454504
2003-08-12,SELL,0,0.4858387799564306,0.2461873638344215,0.4684095860566458,0.4684095860566458
2003-08-13,BUY,0,0.6415525114155416,0.2831050228310443,0.37214611872145165,0.37214611872145165
2003-08-14,SELL,40,0.4414414414414378,0.5923423423423341,0.4166666666666667,0.5923423423423341
2003-08-15,BUY,3,0.025708061002196116,0.39912854030499684,0.45860566448800866,0.45860566448800866
2003-08-18,SELL,0,5.489942528735605,0.45833333333335885,0.45833333333335885,0.45833333333335885
2003-08-20,BUY,1,0.07511737089201116,0.4460093896713601,1.0093896713615138,1.0093896713615138
2003-08-21,BUY,1,-0.1536796536796808,0.32900432900434523,2.1341991341991604,2.1341991341991604
2003-08-22,BUY,0,-0.1440514469453316,0.25305466237941526,0.6874598070739508,0.6874598070739508
2003-08-25,BUY,0,0.9242424242424282,0.25757575757573997,1.5151515151515014,1.5151515151515014
2003-08-26,SELL,23,0.3540372670807563,0.2360248447204983,0.4161490683229899,0.4161490683229899
2003-08-27,SELL,0,0.158602150537638,0.26881720430105804,0.9946236559139605,0.9946236559139605
2003-08-28,BUY,0,0.2354312354312312,0.37995337995337425,0.6806526806526813,0.6806526806526813
2003-08-29,BUY,16,0.7160305343511643,0.2389312977099168,0.5931297709923617,0.5931297709923617
2003-09-01,BUY,0,0.8263888888889002,0.3402777777777615,1.4652777777777652,1.4652777777777652
2003-09-02,BUY,0,-0.018181818181814424,0.23636363636362626,2.245454545454527,2.245454545454527
2003-09-03,BUY,0,-0.09795918367346719,0.24489795918367666,0.5877551020408147,0.5877551020408147
2003-09-04,SELL,6,0.13055555555556678,0.2861111111110989,1.944444444444424,1.944444444444424
2003-09-05,SELL,45,-0.20495314591699684,0.4808567603748335,1.1527443105756388,1.1527443105756388
2003-09-08,SELL,0,1.1621621621621663,0.3153153153153063,0.3153153153153063,0.3153153153153063
2003-09-09,BUY,0,1.1300813008129926,0.30894308943090515,0.37601626016260287,0.37601626016260287
2003-09-10,SELL,15,0.11066126855600836,0.38326585695006427,0.38326585695006427,0.38326585695006427
2003-09-11,SELL,0,0.551912568306022,0.2349726775956246,1.0628415300546343,1.0628415300546343
2003-09-12,BUY,37,0.8874788494077847,0.24450084602369726,0.4145516074450068,0.4145516074450068
2003-09-15,SELL,0,0.4339622641509768,0.22641509433963072,1.2641509433962002,1.2641509433962002
2003-09-16,SELL,9,3.2518518518518107,0.24814814814814196,0.24814814814814196,0.24814814814814196
2003-09-17,BUY,28,0.2730158730158793,0.44761904761904975,0.33650793650793065,0.44761904761904975
2003-09-18,SELL,0,0.5580029368575532,0.22613803230543936,0.22613803230543936,0.22613803230543936
2003-09-19,BUY,16,0.1741573033707877,0.22977528089887167,0.61460674157303,0.61460674157303
2003-09-22,BUY,1,0.08754208754208015,0.26599326599326945,0.32659932659933266,0.32659932659933266
2003-09-23,SELL,17,1.2642276422764447,0.24796747967478125,0.26016260162598975,0.26016260162598975
2003-09-24,SELL,0,0.632000000000008,0.2319999999999989,0.42400000000001054,0.42400000000001054
2003-09-25,SELL,0,0.1893939393939296,0.2803030303030352,0.6515151515151653,0.6515151515151653
2003-09-26,SELL,47,0.48678678678679604,0.28168168168169044,0.28168168168169044,0.28168168168169044
2003-09-29,BUY,1,4.333333333333257,0.31782945736437745,2.434108527131778,2.434108527131778
2003-09-30,SELL,0,0.1030927835051489,0.2577319587628869,0.5360824742268055,0.5360824742268055
2003-10-01,SELL,0,0.17562724014336364,0.3136200716845954,0.49641577060932984,0.49641577060932984
2003-10-02,SELL,4,0.5040000000000191,0.2799999999999955,0.5119999999999891,0.5119999999999891
2003-10-03,BUY,0,-0.10839895013122813,0.2288713910761024,1.306036745406821,1.306036745406821
2003-10-06,SELL,0,0.9679487179487477,0.3974358974358561,3.128205128205009,3.128205128205009
2003-10-07,SELL,5,0.3129890453834078,0.33959311424100036,0.4241001564945248,0.4241001564945248
2003-10-08,BUY,0,0.2653927813163433,0.2823779193206104,0.31422505307856147,0.31422505307856147
2003-10-09,SELL,3,2.043956043956051,0.24175824175824143,0.24175824175824143,0.24175824175824143
2003-10-10,BUY,5,0.036057692307700534,0.2360576923076855,0.6225961538461483,0.6225961538461483
2003-10-13,SELL,3,4.017094017094184,0.3675213675213376,0.3675213675213376,0.3675213675213376
2003-10-14,BUY,3,0.6842105263157764,0.263157894736853,0.4327485380117111,0.4327485380117111
2003-10-15,BUY,53,0.07504363001745085,0.24956369982548404,0.25479930191972755,0.25479930191972755
2003-10-16,BUY,1,0.47126436781608555,0.2528735632184045,0.6666666666666775,0.6666666666666775
2003-10-17,BUY,1,0.586531986531973,0.4225589225589219,0.4225589225589219,0.4225589225589219
2003-10-20,BUY,0,2.5128205128205696,0.44871794871792664,0.44871794871792664,0.44871794871792664
2003-10-21,BUY,1,0.15584415584414266,0.24675324675325203,0.4090909090909137,0.4090909090909137
2003-10-22,BUY,0,1.176245210728007,0.24904214559385834,0.318007662835241,0.318007662835241
2003-10-23,SELL,0,-0.0846153846153725,0.3230769230769106,1.223076923076915,1.223076923076915
2003-10-24,SELL,21,0.4639639639639396,0.2522522522522694,0.35225225225226553,0.35225225225226553
2003-10-27,BUY,0,-0.042955326460491335,0.3178694158075675,2.121993127147764,2.121993127147764
2003-10-28,BUY,0,-0.1432506887052355,0.44077134986226485,1.2837465564738577,1.2837465564738577
2003-10-29,BUY,2,0.06280193236715399,0.36473429951690345,0.3429951690821202,0.36473429951690345
2003-10-30,BUY,5,1.3728813559321993,0.23728813559321993,0.5932203389830619,0.5932203389830619
2003-10-31,SELL,18,0.028735632183906144,0.24712643678160265,1.2385057471264258,1.2385057471264258
2003-11-05,BUY,0,0.17571059431523905,0.3669250645994782,0.6459948320413369,0.6459948320413369
2003-11-06,BUY,0,0.30817610062894896,0.23899371069181033,0.2484276729559662,0.2484276729559662
2003-11-07,BUY,0,0.7288135593220172,0.27118644067798287,0.4915254237288213,0.4915254237288213
2003-11-10,SELL,0,5.111731843575356,0.5027932960893591,1.0614525139664557,1.0614525139664557
2003-11-11,BUY,0,0.1840120663650079,0.2775263951734532,0.2775263951734532,0.2775263951734532
2003-11-12,SELL,0,-0.12091503267972659,0.2875816993463956,1.8071895424836537,1.8071895424836537
2003-11-13,SELL,0,0.065891472868215,0.2945736434108576,0.5271317829457366,0.5271317829457366
