ratio_tp_to_sl,scale,tp_atr,sl_atr,wins,losses,time_exits,buys,sells,skipped_equal_open_pp,win_rate_excl_time_exit,total_pips,cal_ppd
1.65,0.6,0.6,0.363636,1756,2960,1657,2948,3425,665,0.372349,444.9535,0.0632
1.55,0.7,0.7,0.451613,1610,2674,2089,2948,3425,665,0.375817,395.3427,0.0562
1.5,0.7,0.7,0.466667,1631,2609,2133,2948,3425,665,0.38467,383.1131,0.0544
1.55,0.9,0.9,0.580645,1220,2263,2890,2948,3425,665,0.350273,324.7751,0.0461
1.65,0.55,0.55,0.333333,1825,3028,1520,2948,3425,665,0.376056,269.6289,0.0383
1.65,0.95,0.95,0.575758,1107,2292,2974,2948,3425,665,0.325684,255.7094,0.0363
1.6,0.95,0.95,0.59375,1109,2223,3041,2948,3425,665,0.332833,235.0327,0.0334
1.55,0.55,0.55,0.354839,1877,2938,1558,2948,3425,665,0.389823,34.0778,0.0048
1.5,0.55,0.55,0.366667,1902,2886,1585,2948,3425,665,0.397243,-209.8965,-0.0298
1.5,1.0,1.0,0.666667,1036,1985,3352,2948,3425,665,0.342933,-214.9019,-0.0305
1.6,0.55,0.55,0.34375,1844,2990,1539,2948,3425,665,0.381465,-408.3473,-0.058
1.5,0.95,0.95,0.633333,1122,2086,3165,2948,3425,665,0.349751,-459.2066,-0.0652
1.5,0.9,0.9,0.6,1222,2195,2956,2948,3425,665,0.357624,-469.0726,-0.0666
1.8,0.55,0.55,0.305556,1746,3169,1458,2948,3425,665,0.355239,-756.5008,-0.1075
1.55,0.95,0.95,0.612903,1113,2162,3098,2948,3425,665,0.339847,-1075.27,-0.1528
