pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,10,15,250,-10,55,-519.9,-0.7122,-64149.0,-0.8788
EURJPY,10,15,250,0,55,-183.0,-0.2507,-17421.0,-0.2386
EURJPY,10,15,250,10,55,-258.0,-0.3534,-27684.0,-0.3792
EURJPY,10,15,250,20,55,-408.0,-0.5589,-44493.0,-0.6095
EURJPY,10,15,300,-20,55,-520.9,-0.7136,-66121.0,-0.9058
EURJPY,10,15,300,-10,55,-570.9,-0.7821,-70779.0,-0.9696
EURJPY,10,15,300,0,55,-234.7,-0.3215,-24142.0,-0.3307
EURJPY,10,15,300,10,55,-309.7,-0.4242,-34405.0,-0.4713
EURJPY,10,15,300,20,55,-459.7,-0.6297,-51214.0,-0.7016
EURJPY,10,15,350,-20,55,-512.1,-0.7015,-64977.0,-0.8901
EURJPY,10,15,350,-10,55,-562.1,-0.77,-69635.0,-0.9539
EURJPY,10,15,350,0,55,-225.9,-0.3095,-22998.0,-0.315
EURJPY,10,15,350,10,55,-300.9,-0.4122,-33261.0,-0.4556
EURJPY,10,15,350,20,55,-450.9,-0.6177,-50070.0,-0.6859
EURJPY,10,15,400,-20,55,-512.1,-0.7015,-64977.0,-0.8901
EURJPY,10,15,400,-10,55,-562.1,-0.77,-69635.0,-0.9539
EURJPY,10,15,400,0,55,-225.9,-0.3095,-22998.0,-0.315
EURJPY,10,15,400,10,55,-300.9,-0.4122,-33261.0,-0.4556
EURJPY,10,15,400,20,55,-450.9,-0.6177,-50070.0,-0.6859
EURJPY,10,20,150,-20,55,-580.0,-0.7945,-73804.0,-1.011
EURJPY,10,20,150,-10,55,-640.0,-0.8767,-79762.0,-1.0926
EURJPY,10,20,150,0,55,-420.0,-0.5753,-48231.0,-0.6607
EURJPY,10,20,150,10,55,-510.0,-0.6986,-60444.0,-0.828
EURJPY,10,20,150,20,55,-520.0,-0.7123,-59053.0,-0.8089
EURJPY,10,20,200,-20,55,-778.6,-1.0666,-99622.0,-1.3647
EURJPY,10,20,200,-10,55,-838.6,-1.1488,-105580.0,-1.4463
EURJPY,10,20,200,0,55,-518.6,-0.7104,-61049.0,-0.8363
EURJPY,10,20,200,10,55,-608.6,-0.8337,-73262.0,-1.0036
EURJPY,10,20,200,20,55,-568.6,-0.7789,-65371.0,-0.8955
EURJPY,10,20,250,-20,55,-823.3,-1.1278,-105433.0,-1.4443
EURJPY,10,20,250,-10,55,-883.3,-1.21,-111391.0,-1.5259
EURJPY,10,20,250,0,55,-556.4,-0.7622,-65963.0,-0.9036
EURJPY,10,20,250,10,55,-646.4,-0.8855,-78176.0,-1.0709
EURJPY,10,20,250,20,55,-602.6,-0.8255,-69791.0,-0.956
EURJPY,10,20,300,-20,55,-874.3,-1.1977,-112063.0,-1.5351
EURJPY,10,20,300,-10,55,-934.3,-1.2799,-118021.0,-1.6167
EURJPY,10,20,300,0,55,-608.1,-0.833,-72684.0,-0.9957
EURJPY,10,20,300,10,55,-698.1,-0.9563,-84897.0,-1.163
EURJPY,10,20,300,20,55,-654.3,-0.8963,-76512.0,-1.0481
EURJPY,10,20,350,-20,55,-865.5,-1.1856,-110919.0,-1.5194
EURJPY,10,20,350,-10,55,-925.5,-1.2678,-116877.0,-1.6011
EURJPY,10,20,350,0,55,-599.3,-0.821,-71540.0,-0.98
EURJPY,10,20,350,10,55,-689.3,-0.9442,-83753.0,-1.1473
EURJPY,10,20,350,20,55,-645.5,-0.8842,-75368.0,-1.0324
EURJPY,10,20,400,-20,55,-865.5,-1.1856,-110919.0,-1.5194
EURJPY,10,20,400,-10,55,-925.5,-1.2678,-116877.0,-1.6011
EURJPY,10,20,400,0,55,-599.3,-0.821,-71540.0,-0.98
EURJPY,10,20,400,10,55,-689.3,-0.9442,-83753.0,-1.1473
EURJPY,10,20,400,20,55,-645.5,-0.8842,-75368.0,-1.0324
EURJPY,10,25,150,-20,55,-867.7,-1.1886,-111205.0,-1.5234
EURJPY,10,25,150,-10,55,-937.7,-1.2845,-118463.0,-1.6228
EURJPY,10,25,150,0,55,-552.7,-0.7571,-65482.0,-0.897
EURJPY,10,25,150,10,55,-657.7,-0.901,-79645.0,-1.091
EURJPY,10,25,150,20,55,-692.7,-0.9489,-81504.0,-1.1165
