indicator,bucket,trades_total,avg_positive_pips_overall,positive_rate_overall,avg_all_pips_overall
atr_bucket,00-05%,206,2.643711284716268,0.6796116504854369,-2.9807524271844223
atr_bucket,05-10%,237,6.88740561221619,0.8354430379746836,-1.7238537271448215
atr_bucket,10-15%,223,12.786033877911422,0.8295964125560538,2.441614349775723
atr_bucket,15-20%,269,17.832508389667623,0.7397769516728625,2.245780669145008
atr_bucket,20-25%,349,29.662038828400732,0.6131805157593123,1.2568815663803237
atr_bucket,25-30%,335,32.0019181868434,0.5134328358208955,-1.0421442786071042
atr_bucket,30-35%,130,39.479399949723174,0.4307692307692308,-1.3127948717949471
bbz_band,00-05%,188,2.395121951219468,0.6542553191489362,-1.4630141843971889
bbz_band,05-10%,200,7.036178861788669,0.82,-2.4119833333333247
bbz_band,10-15%,212,12.45785644291652,0.8160377358490566,1.8413836477986176
bbz_band,15-20%,233,17.901292516308306,0.759656652360515,3.6986266094420728
bbz_band,20-25%,325,28.911930206531284,0.6184615384615385,1.840523076923266
bbz_band,25-30%,286,32.743247126436664,0.506993006993007,-0.7233216783218002
bbz_band,30-35%,139,34.782952304822814,0.49640287769784175,2.3005395683454064
rsi_band,00-05%,139,2.500784313725509,0.6115107913669064,-4.940551558752937
rsi_band,05-10%,171,7.086587611002905,0.8128654970760234,-2.6501072124755876
rsi_band,10-15%,201,12.271560712739586,0.8407960199004975,3.1311442786069454
rsi_band,15-20%,250,17.71651674132628,0.748,2.581766666666664
rsi_band,20-25%,336,30.065985980047365,0.6190476190476191,1.5163541666668476
rsi_band,25-30%,332,33.248921622567764,0.5120481927710844,-0.9640913654620035
rsi_band,30-35%,141,34.05815564018056,0.475177304964539,0.7873995271867748
wr_band,00-05%,214,2.5211736305145496,0.677570093457944,-2.913746105919009
wr_band,05-10%,192,7.272019596868108,0.8229166666666666,-2.147491319444427
wr_band,10-15%,181,12.84405712782342,0.8176795580110497,1.9184530386739678
wr_band,15-20%,219,19.08764265803553,0.7351598173515982,1.991263318112658
wr_band,20-25%,327,30.62303480407922,0.6146788990825688,1.5069673802244261
wr_band,25-30%,322,33.50493668797055,0.5124223602484472,-1.1045393374742585
wr_band,30-35%,142,36.822698755093086,0.4507042253521127,-1.2275821596244418
