date,side,entry_norm,mfe_norm,mfe_pips,pivot_hit_before_sl,sl_hit_before_pivot,state,pips_at_first_event,bars_to_first_event,bucket
2003-08-05,SELL,0.21574803149604865,0.24356955380577341,46.399999999999864,1,0,pivot_first,40.099999999997294,58,20-25%
2003-08-06,SELL,0.09883563498510986,0.24532900081234268,30.19999999999925,1,0,pivot_first,11.16666666666697,20,05-10%
2003-08-07,BUY,0.1798561151079229,0.20143884892085848,19.599999999999795,1,0,pivot_first,16.500000000001137,35,15-20%
2003-08-08,BUY,0.2072289156626577,0.08514056224901412,10.600000000002296,0,1,sl_first,-43.67499999999984,30,20-25%
2003-08-09,BUY,0.10487804878047867,0.0,0.0,0,1,sl_first,-55.750000000001364,193,10-15%
2003-08-11,BUY,0.36363636363629315,0.36363636363629315,7.999999999998408,0,1,sl_first_tie,-5.100000000002524,0,35-40%
2003-08-12,SELL,0.14814814814814334,0.1503267973856141,22.999999999998977,1,0,pivot_first,21.666666666665947,40,10-15%
2003-08-13,BUY,0.26940639269405103,0.3082191780822018,45.000000000001705,1,0,pivot_first,38.333333333331666,9,25-30%
2003-08-14,SELL,0.2882882882882722,0.033783783783771844,4.999999999998295,0,1,sl_first,-39.73333333333733,2,25-30%
2003-08-15,BUY,0.3069716775599047,0.3169934640522963,48.500000000001364,1,0,pivot_first,45.966666666665446,37,30-35%
2003-08-16,SELL,0.1088618983355889,0.11201079622131829,8.29999999999984,1,0,pivot_first,7.066666666667288,188,10-15%
2003-08-18,BUY,0.10201149425283008,0.560344827586189,12.999999999999545,1,0,pivot_first,1.366666666665651,0,10-15%
2003-08-19,BUY,0.28260869565216495,0.021739130434783503,3.0000000000001137,0,1,sl_first,-37.89999999999998,23,25-30%
2003-08-20,BUY,0.15727699530516276,0.23239436619717393,32.99999999999841,1,0,pivot_first,21.333333333332916,4,15-20%
2003-08-21,BUY,0.14718614718616171,0.03246753246752156,4.999999999998295,0,1,sl_first,-63.03333333333205,26,10-15%
2003-08-22,BUY,0.19517684887458964,0.05112540192925806,15.899999999999181,0,1,sl_first,-111.35000000000252,55,15-20%
2003-08-23,BUY,0.08599605522682877,0.1005917159763325,17.00000000000017,1,0,pivot_first,13.533333333334042,180,05-10%
2003-08-25,BUY,0.1515151515151437,0.19696969696971262,13.000000000000966,1,0,pivot_first,8.999999999999432,0,15-20%
2003-08-26,BUY,0.14906832298137349,0.2049689440993797,32.99999999999983,1,0,pivot_first,23.00000000000091,4,10-15%
2003-08-27,SELL,0.1478494623655819,0.16129032258064627,20.000000000000284,1,0,pivot_first,17.33333333333229,9,10-15%
2003-08-28,BUY,0.21911421911421972,0.18181818181818635,26.00000000000051,0,1,sl_first,-48.3166666666657,41,20-25%
2003-08-29,SELL,0.05877862595420783,0.12900763358779455,16.900000000001114,1,0,pivot_first,6.700000000001239,0,05-10%
2003-08-30,SELL,0.24353741496598316,0.26239067055394527,45.000000000001705,1,0,pivot_first,40.7666666666662,196,20-25%
2003-09-01,BUY,0.09027777777775413,0.08333333333331606,3.999999999999204,0,1,sl_first,-23.066666666667345,3,05-10%
2003-09-02,BUY,0.18181818181817008,0.16363636363635564,17.99999999999926,0,1,sl_first,-41.500000000001535,26,15-20%
2003-09-03,BUY,0.19591836734694018,0.016326530612247432,4.000000000000625,0,1,sl_first,-87.74999999999926,6,15-20%
2003-09-04,BUY,0.047222222222238375,0.07500000000000266,9.000000000000341,1,0,pivot_first,4.666666666668618,0,00-05%
2003-09-05,SELL,0.2904953145916991,0.08554216867470221,21.300000000000807,0,1,sl_first,-65.6166666666673,50,25-30%
2003-09-06,SELL,0.24788135593220534,0.03389830508475086,8.00000000000125,0,1,sl_first,-72.29999999999939,182,20-25%
2003-09-08,SELL,0.2612612612612509,0.27927927927927787,31.000000000000227,1,0,pivot_first,27.999999999999204,1,25-30%
2003-09-09,BUY,0.2601626016260199,0.2621951219512213,43.00000000000068,1,0,pivot_first,41.66666666666765,22,25-30%
2003-09-10,SELL,0.2415654520917669,0.3198380566801704,79.00000000000205,1,0,pivot_first,58.6666666666664,47,20-25%
2003-09-11,SELL,0.0628415300546343,0.07377049180328155,9.000000000000341,1,0,pivot_first,6.666666666665378,0,05-10%
2003-09-12,BUY,0.05668358714044612,0.09543147208122675,18.80000000000166,1,0,pivot_first,10.16666666666788,0,05-10%
2003-09-13,SELL,0.22417153996100941,0.27680311890838544,71.0000000000008,1,0,pivot_first,56.49999999999886,313,20-25%
2003-09-15,SELL,0.07547169811319238,0.2641509433962001,13.999999999998636,1,0,pivot_first,2.999999999999204,0,05-10%
2003-09-16,BUY,0.007407407407400624,0.03333333333333439,3.0000000000001137,1,0,pivot_first,-0.33333333333393966,0,00-05%
2003-09-17,BUY,0.28253968253968026,0.2952380952380995,93.00000000000068,1,0,pivot_first,87.99999999999864,48,25-30%
2003-09-18,SELL,0.1820851688693187,0.19383259911894085,43.99999999999977,1,0,pivot_first,40.33333333333553,28,15-20%
2003-09-19,BUY,0.21516853932583208,0.2247191011235826,39.999999999997726,1,0,pivot_first,37.299999999998136,27,20-25%
2003-09-20,SELL,0.22649572649571542,0.8974358974358932,125.99999999999909,1,0,pivot_first,30.799999999998363,180,20-25%
2003-09-22,BUY,0.1599326599326732,0.16666666666667385,33.00000000000125,1,0,pivot_first,30.66666666666913,20,15-20%
2003-09-23,BUY,0.032520325203257386,0.18292682926826648,14.999999999997726,1,0,pivot_first,1.6666666666670835,0,00-05%
2003-09-24,SELL,0.1359999999999931,0.1760000000000031,21.999999999999886,1,0,pivot_first,15.99999999999875,6,10-15%
2003-09-25,SELL,0.21212121212121407,0.22727272727271552,29.999999999998295,1,0,pivot_first,27.000000000000114,3,20-25%
2003-09-26,SELL,0.008708708708716267,0.025225225225217984,2.7999999999991587,1,0,pivot_first,-0.03333333333250721,0,00-05%
2003-09-27,BUY,0.24306369675651526,0.04689331770221763,3.999999999999204,0,1,sl_first,-27.181666666668946,183,20-25%
2003-09-29,SELL,0.031007751937954776,0.09302325581396348,4.000000000000625,1,0,pivot_first,0.3333333333321207,0,00-05%
2003-09-30,SELL,0.25085910652921617,0.35395189003436506,103.00000000000011,1,0,pivot_first,72.00000000000182,29,25-30%
2003-10-01,SELL,0.23297491039426912,0.3494623655914037,65.00000000000057,1,0,pivot_first,42.33333333333371,49,20-25%
2003-10-02,SELL,0.12799999999999728,0.12800000000002001,16.0000000000025,1,0,pivot_first,14.999999999999659,2,10-15%
2003-10-03,BUY,0.18398950131233274,0.07559055118110462,9.600000000000364,0,1,sl_first,-47.48333333333312,34,15-20%
2003-10-04,BUY,0.24085031777337135,0.2564102564102449,38.999999999998636,1,0,pivot_first,35.63333333333014,187,20-25%
2003-10-06,SELL,0.30128205128199,0.38461538461535516,19.999999999998863,1,0,pivot_first,14.666666666663787,1,30-35%
2003-10-07,SELL,0.3114241001564922,0.43192488262910306,91.99999999999875,1,0,pivot_first,65.33333333333269,54,30-35%
2003-10-08,BUY,0.2250530785562768,0.23566878980892111,37.000000000000455,1,0,pivot_first,34.333333333335304,0,20-25%
2003-10-09,SELL,0.12087912087913633,0.13186813186813737,12.000000000000455,1,0,pivot_first,10.000000000001364,0,10-15%
2003-10-10,BUY,0.1658653846153842,0.03557692307692901,7.400000000001228,0,1,sl_first,-80.90000000000066,33,15-20%
2003-10-11,SELL,0.2554744525547265,0.2846715328467015,38.999999999998636,1,0,pivot_first,33.99999999999801,180,25-30%
2003-10-13,SELL,0.059829059829007505,0.20512820512817148,7.999999999998408,1,0,pivot_first,1.3333333333312112,0,05-10%
2003-10-14,SELL,0.03508771929823045,0.11695906432747916,19.999999999998863,1,0,pivot_first,4.999999999997385,0,00-05%
2003-10-15,SELL,0.00698080279231478,0.02094240837695922,3.999999999999204,1,0,pivot_first,0.3333333333321207,0,00-05%
2003-10-16,BUY,0.195402298850592,0.22988505747126645,20.000000000000284,1,0,pivot_first,16.00000000000159,3,15-20%
2003-10-17,BUY,0.3286195286195253,0.33535353535352586,33.19999999999936,1,0,pivot_first,31.533333333333303,3,30-35%
2003-10-18,SELL,0.18118118118116777,0.20020020020020685,20.000000000000284,1,0,pivot_first,17.099999999998317,181,15-20%
2003-10-20,BUY,0.06410256410256095,0.07692307692308954,4.000000000000625,1,0,pivot_first,2.333333333333144,0,05-10%
2003-10-21,SELL,0.1038961038961003,0.17532467532467963,27.000000000001023,1,0,pivot_first,14.999999999999659,0,10-15%
2003-10-22,BUY,0.18007662835247565,0.1839080459770096,15.999999999999659,1,0,pivot_first,14.666666666665208,6,15-20%
2003-10-23,SELL,0.2923076923076863,0.20769230769231375,27.000000000001023,0,1,sl_first,-34.500000000000796,20,25-30%
2003-10-24,SELL,0.05360360360361564,0.09054054054053005,13.399999999998613,1,0,pivot_first,6.933333333335213,29,05-10%
2003-10-25,BUY,0.2993929359823504,0.07615894039736182,9.200000000001296,0,1,sl_first,-31.273333333332175,187,25-30%
2003-10-27,BUY,0.11168384879724817,0.06872852233675683,3.999999999999204,0,1,sl_first,-26.509999999999877,3,10-15%
2003-10-28,BUY,0.2754820936639126,0.057851239669416826,6.999999999999318,0,1,sl_first,-34.21666666666658,3,25-30%
2003-10-29,BUY,0.2850241545893579,0.30434782608694533,41.99999999999875,1,0,pivot_first,38.333333333331666,7,25-30%
2003-10-30,BUY,0.15254237288136083,0.1694915254237182,9.999999999999432,1,0,pivot_first,8.000000000000341,0,15-20%
2003-10-31,BUY,0.14080459770114256,0.1465517241379189,16.99999999999875,1,0,pivot_first,15.333333333332689,5,10-15%
2003-11-01,SELL,0.1400394477317532,0.15739644970414407,26.600000000000534,1,0,pivot_first,22.66666666666646,186,10-15%
2003-11-03,BUY,0.1394736842105208,0.42105263157894346,15.999999999999659,1,0,pivot_first,4.299999999999727,0,10-15%
2003-11-04,BUY,0.2661498708010326,0.023255813953489142,3.0000000000001137,0,1,sl_first,-37.616666666667186,1,25-30%
2003-11-05,BUY,0.32041343669251093,0.2945736434108588,38.000000000000966,0,1,sl_first,-30.616666666666447,57,30-35%
2003-11-06,BUY,0.19182389937105776,0.207547169811322,21.999999999999886,1,0,pivot_first,19.333333333331893,4,15-20%
2003-11-07,BUY,0.11864406779662201,0.1355932203389794,7.9999999999998295,1,0,pivot_first,6.000000000000739,2,10-15%
2003-11-08,SELL,0.2777777777777822,0.511111111111105,36.7999999999995,1,0,pivot_first,19.000000000000284,184,25-30%
2003-11-10,SELL,0.13966480446926421,0.16759776536313292,6.000000000000227,1,0,pivot_first,3.999999999999716,0,10-15%
2003-11-11,BUY,0.21417797888385995,0.2488687782805424,54.999999999999716,1,0,pivot_first,46.33333333333292,18,20-25%
2003-11-12,SELL,0.16993464052287519,0.04901960784314859,5.000000000001137,0,1,sl_first,-39.76666666666608,11,15-20%
2003-11-13,SELL,0.24224806201550678,0.2674418604651211,46.000000000000796,1,0,pivot_first,40.66666666666714,5,20-25%
2003-11-14,SELL,0.18300653594769994,0.1568627450980365,15.999999999999659,0,1,sl_first,-38.43333333333396,13,15-20%
2003-11-15,SELL,0.2448979591836637,0.0,0.0,0,1,sl_first,-30.90000000000208,184,20-25%
2003-11-17,SELL,0.24629958555355383,0.05328596802842098,3.0000000000001137,0,1,sl_first,-18.098333333333926,0,20-25%
2003-11-18,BUY,0.22510822510822454,0.23376623376622538,35.99999999999852,1,0,pivot_first,33.6666666666664,36,20-25%
2003-11-19,SELL,0.2653927813163433,0.2675159235668722,41.99999999999875,1,0,pivot_first,40.66666666666572,33,25-30%
2003-11-20,SELL,0.16117216117216884,0.18131868131868603,33.00000000000125,1,0,pivot_first,28.333333333335077,71,15-20%
2003-11-21,BUY,0.0036231884057628502,0.02173913043476246,1.999999999998181,1,0,pivot_first,-0.666666666669812,0,00-05%
2003-11-22,SELL,0.02222222222222538,0.5141666666666749,61.700000000001864,1,0,pivot_first,1.6666666666670835,184,00-05%
2003-11-24,SELL,0.303299492385752,0.3934010152283878,30.999999999997385,1,0,pivot_first,22.89999999999759,32,30-35%
2003-11-25,BUY,0.12962962962963037,0.20833333333334156,30.000000000001137,1,0,pivot_first,17.666666666666742,14,10-15%
2003-11-26,BUY,0.2690058479532175,0.38596491228069474,43.99999999999977,1,0,pivot_first,29.666666666667197,7,25-30%
2003-11-27,SELL,0.2263374485596573,0.22839506172839721,37.000000000000455,1,0,pivot_first,35.66666666666458,86,20-25%
2003-11-28,SELL,0.21666666666665088,0.2,12.000000000000455,0,1,sl_first,-21.000000000001705,3,20-25%
2003-11-29,SELL,0.30092592592592904,0.12916666666667176,18.600000000000705,0,1,sl_first,-36.86666666666645,188,30-35%
2003-12-01,SELL,0.35952113729891194,0.3703703703703763,33.00000000000125,1,0,pivot_first,31.033333333333758,6,35-40%
2003-12-02,BUY,0.2677595628415332,0.3497267759562898,64.00000000000148,1,0,pivot_first,48.00000000000091,19,25-30%
2003-12-03,SELL,0.0873563218390801,0.1034482758620541,14.999999999997726,1,0,pivot_first,11.666666666666515,0,05-10%
2003-12-04,SELL,0.045614035087708275,0.11578947368419636,10.999999999998522,1,0,pivot_first,3.3333333333322344,0,00-05%
2003-12-05,BUY,0.0689655172413903,0.12931034482756698,14.999999999997726,1,0,pivot_first,7.0000000000012506,1,05-10%
2003-12-06,SELL,0.11111111111113399,0.16086956521737733,11.099999999999,1,0,pivot_first,6.66666666666822,190,10-15%
