buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
30,50,40,3430,6860,-7399.92,-7798.7,398.78,-1.0495
150,300,100,3430,6860,-7399.891,-4855.7,-2544.191,-1.0495
150,150,20,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,10,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,0,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,30,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,75,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,50,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,40,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
150,150,100,3430,6860,-7401.161,-4855.7,-2545.461,-1.0497
40,50,20,3430,6860,-7404.417,-8894.0,1489.583,-1.0501
30,50,50,3430,6860,-7431.797,-7798.7,366.903,-1.054
75,100,50,3430,6860,-7433.653,-6374.6,-1059.053,-1.0543
150,400,75,3430,6860,-7460.851,-4855.7,-2605.151,-1.0581
30,50,75,3430,6860,-7470.151,-7798.7,328.549,-1.0594
75,100,75,3430,6860,-7470.991,-6374.6,-1096.391,-1.0596
75,100,40,3430,6860,-7473.023,-6374.6,-1098.423,-1.0599
75,400,30,3430,6860,-7589.736,-6374.6,-1215.136,-1.0764
150,300,75,3430,6860,-7590.391,-4855.7,-2734.691,-1.0765
150,250,100,3430,6860,-7591.28,-4855.7,-2735.58,-1.0766
75,100,100,3430,6860,-7596.086,-6374.6,-1221.486,-1.0773
75,150,20,3430,6860,-7647.521,-6374.6,-1272.921,-1.0846
150,400,50,3430,6860,-7651.351,-4855.7,-2795.651,-1.0851
75,150,10,3430,6860,-7678.255,-6374.6,-1303.655,-1.089
125,400,100,3430,6860,-7686.696,-5356.5,-2330.196,-1.0902
75,300,30,3430,6860,-7719.276,-6374.6,-1344.676,-1.0948
150,400,40,3430,6860,-7727.551,-4855.7,-2871.851,-1.096
150,250,75,3430,6860,-7750.03,-4855.7,-2894.33,-1.0991
100,150,30,3430,6860,-7760.711,-5780.4,-1980.311,-1.1007
75,250,30,3430,6860,-7761.948,-6374.6,-1387.348,-1.1008
125,150,75,3430,6860,-7764.039,-5356.5,-2407.539,-1.1011
150,300,50,3430,6860,-7780.891,-4855.7,-2925.191,-1.1035
100,150,0,3430,6860,-7786.492,-5780.4,-2006.092,-1.1043
20,400,100,3430,6860,-7797.375,-6651.2,-1146.175,-1.1059
150,400,30,3430,6860,-7803.751,-4855.7,-2948.051,-1.1068
150,400,10,3430,6860,-7806.291,-4855.7,-2950.591,-1.1071
125,150,0,3430,6860,-7811.664,-5356.5,-2455.164,-1.1079
125,150,30,3430,6860,-7811.664,-5356.5,-2455.164,-1.1079
125,300,100,3430,6860,-7816.236,-5356.5,-2459.736,-1.1085
75,400,0,3430,6860,-7816.431,-6374.6,-1441.831,-1.1086
125,150,100,3430,6860,-7817.506,-5356.5,-2461.006,-1.1087
125,400,75,3430,6860,-7823.729,-5356.5,-2467.229,-1.1096
125,150,40,3430,6860,-7832.746,-5356.5,-2476.246,-1.1109
150,300,40,3430,6860,-7857.091,-4855.7,-3001.391,-1.1143
125,150,50,3430,6860,-7859.289,-5356.5,-2502.789,-1.1146
20,50,0,3430,6860,-7870.781,-6651.2,-1219.581,-1.1163
125,150,20,3430,6860,-7875.164,-5356.5,-2518.664,-1.1169
150,400,20,3430,6860,-7879.951,-4855.7,-3024.251,-1.1176
150,400,0,3430,6860,-7895.191,-4855.7,-3039.491,-1.1197
100,150,20,3430,6860,-7907.396,-5780.4,-2126.996,-1.1215
150,250,50,3430,6860,-7908.78,-4855.7,-3053.08,-1.1217
40,50,40,3430,6860,-7912.925,-8894.0,981.075,-1.1222
20,300,100,3430,6860,-7926.915,-6651.2,-1275.715,-1.1242
20,150,100,3430,6860,-7928.185,-6651.2,-1276.985,-1.1244
150,300,30,3430,6860,-7933.291,-4855.7,-3077.591,-1.1251
150,300,10,3430,6860,-7935.831,-4855.7,-3080.131,-1.1255
125,150,10,3430,6860,-7938.664,-5356.5,-2582.164,-1.1259
75,300,0,3430,6860,-7945.971,-6374.6,-1571.371,-1.1269
100,150,40,3430,6860,-7945.75,-5780.4,-2165.35,-1.1269
75,250,0,3430,6860,-7950.543,-6374.6,-1575.943,-1.1276
125,300,75,3430,6860,-7953.269,-5356.5,-2596.769,-1.128
150,250,40,3430,6860,-7972.28,-4855.7,-3116.58,-1.1307
20,50,10,3430,6860,-7981.906,-6651.2,-1330.706,-1.132
100,150,50,3430,6860,-7983.088,-5780.4,-2202.688,-1.1322
100,150,10,3430,6860,-7989.692,-5780.4,-2209.292,-1.1331
75,400,10,3430,6860,-7998.803,-6374.6,-1624.203,-1.1344
40,50,50,3430,6860,-8001.571,-8894.0,892.429,-1.1348
125,250,100,3430,6860,-8007.625,-5356.5,-2651.125,-1.1357
150,300,20,3430,6860,-8009.491,-4855.7,-3153.791,-1.1359
150,250,10,3430,6860,-8012.92,-4855.7,-3157.22,-1.1364
150,300,0,3430,6860,-8024.731,-4855.7,-3169.031,-1.1381
75,400,20,3430,6860,-8032.204,-6374.6,-1657.604,-1.1392
150,250,30,3430,6860,-8035.78,-4855.7,-3180.08,-1.1397
50,100,10,3430,6860,-8068.517,-7157.8,-910.717,-1.1443
100,400,30,3430,6860,-8080.624,-5780.4,-2300.224,-1.146
150,250,0,3430,6860,-8089.12,-4855.7,-3233.42,-1.1472
100,400,100,3430,6860,-8092.562,-5780.4,-2312.162,-1.1477
150,250,20,3430,6860,-8099.28,-4855.7,-3243.58,-1.1487
10,100,100,3430,6860,-8102.758,-7943.5,-159.258,-1.1492
125,400,50,3430,6860,-8109.479,-5356.5,-2752.979,-1.1501
125,250,75,3430,6860,-8112.908,-5356.5,-2756.408,-1.1506
20,250,100,3430,6860,-8118.304,-6651.2,-1467.104,-1.1514
75,300,10,3430,6860,-8128.343,-6374.6,-1753.743,-1.1528
75,250,10,3430,6860,-8145.615,-6374.6,-1771.015,-1.1552
100,400,50,3430,6860,-8150.601,-5780.4,-2370.201,-1.1559
125,400,40,3430,6860,-8159.136,-5356.5,-2802.636,-1.1572
50,100,0,3430,6860,-8160.973,-7157.8,-1003.173,-1.1574
75,300,20,3430,6860,-8161.744,-6374.6,-1787.144,-1.1575
30,100,0,3430,6860,-8166.873,-7798.7,-368.173,-1.1583
100,150,75,3430,6860,-8175.62,-5780.4,-2395.22,-1.1595
100,400,40,3430,6860,-8189.463,-5780.4,-2409.063,-1.1615
75,250,20,3430,6860,-8191.716,-6374.6,-1817.116,-1.1618
20,400,75,3430,6860,-8196.536,-6651.2,-1545.336,-1.1625
75,150,50,3430,6860,-8201.749,-6374.6,-1827.149,-1.1632
20,150,75,3430,6860,-8204.029,-6651.2,-1552.829,-1.1635
75,150,40,3430,6860,-8203.781,-6374.6,-1829.181,-1.1635
100,300,30,3430,6860,-8210.164,-5780.4,-2429.764,-1.1644
125,400,30,3430,6860,-8214.254,-5356.5,-2857.754,-1.165
40,100,0,3430,6860,-8221.662,-8894.0,672.338,-1.166
100,300,100,3430,6860,-8222.102,-5780.4,-2441.702,-1.1661
100,150,100,3430,6860,-8223.372,-5780.4,-2442.972,-1.1663
100,400,0,3430,6860,-8227.817,-5780.4,-2447.417,-1.1669
100,400,75,3430,6860,-8235.31,-5780.4,-2454.91,-1.168
125,300,50,3430,6860,-8239.019,-5356.5,-2882.519,-1.1685
20,100,30,3430,6860,-8256.099,-6651.2,-1604.899,-1.1709
100,300,50,3430,6860,-8280.141,-5780.4,-2499.741,-1.1743
125,300,40,3430,6860,-8288.676,-5356.5,-2932.176,-1.1755
10,50,50,3430,6860,-8293.385,-7943.5,-349.885,-1.1762
75,400,50,3430,6860,-8302.079,-6374.6,-1927.479,-1.1774
100,400,20,3430,6860,-8303.509,-5780.4,-2523.109,-1.1776
100,400,10,3430,6860,-8312.145,-5780.4,-2531.745,-1.1789
100,250,30,3430,6860,-8312.653,-5780.4,-2532.253,-1.1789
100,300,40,3430,6860,-8319.003,-5780.4,-2538.603,-1.1798
20,300,75,3430,6860,-8326.076,-6651.2,-1674.876,-1.1808
125,400,10,3430,6860,-8343.794,-5356.5,-2987.294,-1.1833
125,300,30,3430,6860,-8343.794,-5356.5,-2987.294,-1.1833
125,400,20,3430,6860,-8353.954,-5356.5,-2997.454,-1.1848
100,300,0,3430,6860,-8357.357,-5780.4,-2576.957,-1.1853
125,400,0,3430,6860,-8359.034,-5356.5,-3002.534,-1.1855
100,300,75,3430,6860,-8364.85,-5780.4,-2584.45,-1.1863
125,250,50,3430,6860,-8366.908,-5356.5,-3010.408,-1.1866
