date,side,entry,pp,r2,s2,norm_entry_dist_r2s2,adverse_norm_from_entry,extreme_norm_from_pivot,outcome,pips,bars_held
2003-08-05,SELL,136.521,136.11,138.01500000000001,134.205,0.21574803149604865,0.22572178477690633,0.441469816272955,LOSS,-42.099999999997294,21
2003-08-06,SELL,136.6,136.47833333333332,137.70933333333332,135.24733333333333,0.09883563498510986,0.10722989439480551,0.20606552937991537,LOSS,-13.16666666666697,8
2003-08-07,BUY,136.214,136.389,137.36200000000002,135.416,0.1798561151079229,0.22610483042137294,0.40596094552929585,LOSS,-18.500000000001137,4
2003-08-08,BUY,135.402,135.66,136.905,134.415,0.2072289156626577,0.25622489959838335,0.463453815261041,LOSS,-26.800000000000978,4
2003-08-09,BUY,134.66,134.789,136.019,133.55899999999997,0.10487804878047867,0.11300813008130728,0.21788617886178596,LOSS,-13.899999999999068,182
2003-08-11,BUY,134.43,134.51,134.73,134.29,0.36363636363629315,1.5000000000000646,1.8636363636363578,LOSS,-8.999999999998408,1
2003-08-12,SELL,134.5,134.27333333333334,135.80333333333334,132.74333333333334,0.14814814814814334,0.19607843137255632,0.3442265795206996,LOSS,-23.666666666665947,3
2003-08-13,BUY,133.66,134.0533333333333,135.51333333333332,132.5933333333333,0.26940639269405103,0.1027397260274006,0.37214611872145165,WIN,38.333333333331666,9
2003-08-14,SELL,134.89,134.46333333333334,135.94333333333336,132.98333333333332,0.2882882882882722,0.30405405405406183,0.5923423423423341,LOSS,-43.66666666666481,2
2003-08-15,BUY,133.897,134.36666666666665,135.89666666666665,132.83666666666664,0.3069716775599047,0.151633986928104,0.45860566448800866,WIN,45.966666666665446,37
2003-08-16,SELL,134.18,134.09933333333333,134.84033333333335,133.35833333333332,0.1088618983355889,0.11605937921725061,0.2249212775528395,LOSS,-9.066666666667288,183
2003-08-18,BUY,134.13,134.15366666666665,134.38566666666665,133.92166666666665,0.10201149425283008,0.38793103448277444,0.48994252873560457,LOSS,-3.366666666665651,1
2003-08-19,BUY,132.97,133.35999999999999,134.73999999999998,131.98,0.28260869565216495,0.326086956521732,0.6086956521738969,LOSS,-39.999999999998636,23
2003-08-20,BUY,131.99,132.21333333333334,133.63333333333333,130.79333333333335,0.15727699530516276,0.2887323943661973,0.4460093896713601,LOSS,-23.333333333332916,1
2003-08-21,BUY,131.21,131.4366666666667,132.9766666666667,129.8966666666667,0.14718614718616171,0.1818181818181835,0.32900432900434523,LOSS,-23.66666666666879,1
2003-08-22,BUY,128.793,129.39999999999998,132.50999999999996,126.28999999999999,0.19517684887458964,0.2475884244373035,0.44276527331189314,LOSS,-61.69999999999709,49
2003-08-23,BUY,127.86,128.00533333333334,129.69533333333334,126.31533333333334,0.08599605522682877,0.12426035502958227,0.21025641025641104,LOSS,-15.533333333334042,180
2003-08-25,BUY,127.55,127.64999999999999,128.31,126.99,0.1515151515151437,0.0,0.1515151515151437,WIN,8.999999999999432,1
2003-08-26,BUY,127.11,127.35000000000001,128.95999999999998,125.74000000000002,0.14906832298137349,0.012422360248444848,0.16149068322981833,WIN,23.00000000000091,4
2003-08-27,SELL,127.67,127.48666666666668,128.7266666666667,126.24666666666667,0.1478494623655819,0.1209677419354761,0.26881720430105804,WIN,17.33333333333229,9
2003-08-28,BUY,127.52,127.83333333333333,129.26333333333332,126.40333333333334,0.21911421911421972,0.41958041958041775,0.6386946386946375,LOSS,-32.33333333333326,41
2003-08-29,SELL,127.647,127.57,128.88,126.26,0.05877862595420783,0.007633587786252586,0.06641221374046041,WIN,6.700000000001239,1
2003-08-30,SELL,128.3,127.88233333333335,129.59733333333335,126.16733333333335,0.24353741496598316,0.08163265306121638,0.32517006802719955,WIN,40.7666666666662,196
2003-09-01,BUY,128.15,128.19333333333333,128.67333333333335,127.71333333333332,0.09027777777775413,0.2500000000000074,0.3402777777777615,LOSS,-5.333333333332234,1
2003-09-02,BUY,127.73,127.92999999999999,129.03,126.82999999999998,0.18181818181817008,0.20909090909091108,0.39090909090908116,LOSS,-20.999999999998863,9
2003-09-03,BUY,125.94,126.42,128.87,123.97,0.19591836734694018,0.24897959183673418,0.44489795918367436,LOSS,-49.0000000000004,3
2003-09-04,BUY,125.47,125.52666666666669,126.72666666666669,124.32666666666668,0.047222222222238375,0.07500000000000266,0.12222222222224104,LOSS,-6.666666666668618,1
2003-09-05,SELL,127.7,126.97666666666667,129.46666666666667,124.48666666666668,0.2904953145916991,0.3959839357429744,0.6864792503346735,LOSS,-73.33333333333434,52
2003-09-06,SELL,129.59,129.005,131.365,126.64499999999998,0.24788135593220534,0.27966101694914947,0.5275423728813549,LOSS,-59.500000000000796,181
2003-09-08,SELL,130.5,130.21,131.32000000000002,129.1,0.2612612612612509,0.0,0.2612612612612509,WIN,27.999999999999204,1
2003-09-09,BUY,129.09,129.51666666666668,131.1566666666667,127.87666666666667,0.2601626016260199,0.09146341463414899,0.3516260162601689,WIN,41.66666666666765,22
2003-09-10,SELL,131.05,130.45333333333335,132.92333333333335,127.98333333333335,0.2415654520917669,0.14170040485829735,0.38326585695006427,WIN,58.6666666666664,47
2003-09-11,SELL,130.91,130.83333333333334,132.05333333333334,129.61333333333334,0.0628415300546343,0.09016393442624078,0.15300546448087507,LOSS,-8.666666666665378,1
2003-09-12,BUY,130.975,131.08666666666667,133.05666666666667,129.11666666666667,0.05668358714044612,0.0,0.05668358714044612,WIN,10.16666666666788,1
2003-09-13,SELL,132.41,131.835,134.4,129.27,0.22417153996100941,0.18323586744639347,0.4074074074074029,WIN,56.49999999999886,313
2003-09-15,SELL,132.25,132.21,132.74,131.68,0.07547169811319238,0.018867924528284685,0.09433962264147705,WIN,2.999999999999204,1
2003-09-16,BUY,132.41,132.41666666666666,133.31666666666666,131.51666666666665,0.007407407407400624,0.1444444444444385,0.1518518518518391,LOSS,-1.6666666666660603,1
2003-09-17,BUY,129.72,130.60999999999999,133.75999999999996,127.46000000000001,0.28253968253968026,0.16507936507936952,0.44761904761904975,WIN,87.99999999999864,48
2003-09-18,SELL,130.97,130.55666666666664,132.82666666666665,128.28666666666663,0.1820851688693187,0.039647577092512334,0.22173274596183104,WIN,40.33333333333553,28
2003-09-19,BUY,129.627,130.01,131.79,128.23,0.21516853932583208,0.06067415730337305,0.27584269662920513,WIN,37.299999999998136,27
2003-09-20,SELL,129.92,129.602,131.006,128.198,0.22649572649571542,0.0,0.22649572649571542,WIN,30.799999999998363,180
2003-09-22,BUY,128.45,128.76666666666668,130.74666666666667,126.78666666666669,0.1599326599326732,0.1161616161616116,0.2760942760942848,WIN,30.66666666666913,20
2003-09-23,BUY,128.49,128.51666666666668,129.33666666666667,127.69666666666669,0.032520325203257386,0.012195121951243183,0.04471544715450057,WIN,1.6666666666670835,1
2003-09-24,SELL,128.39,128.22,129.46999999999997,126.97000000000001,0.1359999999999931,0.11200000000001437,0.24800000000000746,WIN,15.99999999999875,6
2003-09-25,SELL,128.51,128.23,129.54999999999998,126.91,0.21212121212121407,0.06818181818182112,0.2803030303030352,WIN,27.000000000000114,3
2003-09-26,SELL,128.553,128.54333333333332,129.6533333333333,127.43333333333332,0.008708708708716267,0.1630630630630757,0.17177177177179195,LOSS,-1.9666666666674928,1
2003-09-27,BUY,128.08,128.28733333333332,129.14033333333333,127.43433333333331,0.24306369675651526,0.3399765533411528,0.583040250097668,LOSS,-21.73333333333096,183
2003-09-29,SELL,127.92,127.90666666666668,128.3366666666667,127.47666666666667,0.031007751937954776,0.11627906976742956,0.14728682170538435,LOSS,-2.3333333333321207,1
2003-09-30,SELL,129.4,128.67,131.57999999999998,125.75999999999998,0.25085910652921617,0.04467353951889883,0.295532646048115,WIN,72.00000000000182,29
2003-10-01,SELL,129.94,129.50666666666666,131.36666666666665,127.64666666666668,0.23297491039426912,0.09139784946237488,0.324372759856644,WIN,42.33333333333371,49
2003-10-02,SELL,130.05,129.89000000000001,131.14000000000001,128.64000000000001,0.12799999999999728,0.0,0.12799999999999728,WIN,14.999999999999659,2
2003-10-03,BUY,129.553,129.78666666666666,131.05666666666667,128.51666666666665,0.18398950131233274,0.18582677165353392,0.36981627296586667,LOSS,-24.366666666666447,27
2003-10-04,BUY,128.36,128.72633333333332,130.24733333333333,127.2053333333333,0.24085031777337135,0.08547008547010032,0.32632040324347167,WIN,35.63333333333014,187
2003-10-06,SELL,128.72,128.56333333333336,129.08333333333337,128.04333333333335,0.30128205128199,0.0,0.30128205128199,WIN,14.666666666663787,1
2003-10-07,SELL,130.13,129.46666666666667,131.59666666666666,127.33666666666667,0.3114241001564922,0.11267605633803268,0.4241001564945248,WIN,65.33333333333269,54
2003-10-08,BUY,129.04,129.39333333333335,130.96333333333334,127.82333333333335,0.2250530785562768,0.08917197452228469,0.31422505307856147,WIN,34.333333333335304,26
2003-10-09,SELL,129.52,129.41,130.32,128.5,0.12087912087913633,0.03296703296703434,0.15384615384617067,WIN,10.000000000001364,1
2003-10-10,BUY,128.075,128.42,130.5,126.33999999999999,0.1658653846153842,0.18701923076922206,0.35288461538460625,LOSS,-35.499999999999886,25
2003-10-11,SELL,128.26,127.91000000000001,129.28000000000003,126.54,0.2554744525547265,0.0,0.2554744525547265,WIN,33.99999999999801,180
2003-10-13,SELL,128.1,128.07666666666668,128.46666666666667,127.6866666666667,0.059829059829007505,0.10256410256408574,0.16239316239309326,LOSS,-3.333333333331211,1
2003-10-14,SELL,127.46,127.40000000000002,129.11,125.69000000000003,0.03508771929823045,0.0,0.03508771929823045,WIN,4.999999999997385,1
2003-10-15,SELL,127.63,127.61666666666667,129.52666666666667,125.70666666666668,0.00698080279231478,0.07853403141361569,0.08551483420593047,LOSS,-2.3333333333321207,1
2003-10-16,BUY,127.32,127.49000000000001,128.36,126.62,0.195402298850592,0.057471264367812525,0.2528735632184045,WIN,16.00000000000159,3
2003-10-17,BUY,126.918,127.24333333333334,128.23333333333335,126.25333333333333,0.3286195286195253,0.09393939393939664,0.4225589225589219,WIN,31.533333333333303,3
2003-10-18,SELL,127.61,127.42900000000002,128.428,126.43000000000002,0.18118118118116777,0.14014014014014337,0.32132132132131114,WIN,17.099999999998317,181
