pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2017-05-02,midpoint,BUY1,BUY,146.794258,1.09039,1.0884,SL,-20.9,-3068.0,114459,114503
EURUSD,2017-05-03,midpoint,SELL1,SELL,130.0,1.09346,1.08881,TP,45.5,5915.0,114483,114502
EURUSD,2017-05-03,midpoint,BUY1,BUY,205.381944,1.09159,1.08881,SL,-28.8,-5915.0,114483,114502
EURUSD,2017-05-05,midpoint,SELL1,SELL,130.0,1.09806,1.08749,TP,104.7,13611.0,114531,114639
EURUSD,2017-05-05,midpoint,BUY1,BUY,146.197637,1.0967,1.08749,SL,-93.1,-13611.0,114531,114639
EURUSD,2017-05-06,midpoint,SELL1,SELL,130.0,1.0995,1.09494,TP,44.6,5798.0,114555,114612
EURUSD,2017-05-06,midpoint,BUY1,BUY,186.430868,1.09795,1.09494,SL,-31.1,-5798.0,114555,114612
EURUSD,2017-05-13,midpoint,SELL1,SELL,130.0,1.0931,1.12342,SL,-304.2,-39546.0,114723,114949
EURUSD,2017-05-13,midpoint,BUY1,BUY,162.281879,1.09142,1.11728,TIME_EXIT,257.6,41803.8121,114723,115154
EURUSD,2017-05-16,midpoint,SELL1,SELL,130.0,1.09798,1.12825,TIME_EXIT,-303.7,-39481.0,114795,115226
EURUSD,2017-05-16,midpoint,BUY1,BUY,153.117155,1.09693,1.12825,TIME_EXIT,312.2,47803.1757,114795,115226
EURUSD,2017-05-17,midpoint,SELL1,SELL,130.0,1.10932,1.12825,TIME_EXIT,-190.3,-24739.0,114819,115250
EURUSD,2017-05-17,midpoint,BUY1,BUY,148.496468,1.10771,1.12825,TIME_EXIT,204.4,30352.6781,114819,115250
EURUSD,2017-05-18,midpoint,SELL1,SELL,130.0,1.11543,1.10816,TP,71.7,9321.0,114843,114861
EURUSD,2017-05-18,midpoint,BUY1,BUY,133.538682,1.11504,1.10816,SL,-69.8,-9321.0,114843,114861
EURUSD,2017-05-20,midpoint,SELL1,SELL,130.0,1.12065,1.12702,TIME_EXIT,-64.7,-8411.0,114891,115322
EURUSD,2017-05-20,midpoint,BUY1,BUY,147.854077,1.11917,1.12702,TIME_EXIT,77.5,11458.691,114891,115322
EURUSD,2017-05-23,midpoint,SELL1,SELL,130.0,1.12371,1.11614,TP,74.7,9711.0,114963,115048
EURUSD,2017-05-23,midpoint,BUY1,BUY,117.0,1.12434,1.11614,SL,-83.0,-9711.0,114963,115048
EURUSD,2017-05-25,midpoint,SELL1,SELL,130.0,1.12306,1.11685,TP,61.1,7943.0,115011,115048
EURUSD,2017-05-25,midpoint,BUY1,BUY,173.80744,1.12132,1.11685,SL,-45.7,-7943.0,115011,115048
EURUSD,2017-05-31,midpoint,SELL1,SELL,130.0,1.11728,1.11968,TIME_EXIT,-25.0,-3250.0,115155,115586
EURUSD,2017-05-31,midpoint,BUY1,BUY,105.350649,1.11854,1.11968,TIME_EXIT,10.4,1095.6468,115161,115586
EURUSD,2017-06-01,midpoint,SELL1,SELL,130.0,1.12389,1.11645,TP,73.4,9542.0,115179,115524
EURUSD,2017-06-01,midpoint,BUY1,BUY,139.09621,1.12321,1.11645,SL,-68.6,-9542.0,115179,115524
EURUSD,2017-06-03,midpoint,SELL1,SELL,130.0,1.12825,1.12049,TP,76.6,9958.0,115227,115334
EURUSD,2017-06-03,midpoint,BUY1,BUY,162.978723,1.1265,1.12049,SL,-61.1,-9958.0,115227,115334
EURUSD,2017-06-06,midpoint,SELL1,SELL,130.0,1.12572,1.12342,TP,22.0,2860.0,115299,115333
EURUSD,2017-06-06,midpoint,BUY1,BUY,113.043478,1.12585,1.12342,SL,-25.3,-2860.0,115299,115333
EURUSD,2017-06-07,midpoint,SELL1,SELL,130.0,1.12701,1.12404,TP,28.7,3731.0,115323,115333
EURUSD,2017-06-07,midpoint,BUY1,BUY,150.443548,1.12642,1.12404,SL,-24.8,-3731.0,115323,115333
EURUSD,2017-06-08,midpoint,SELL1,SELL,130.0,1.12554,1.12039,TP,50.5,6565.0,115347,115359
EURUSD,2017-06-08,midpoint,BUY1,BUY,110.521886,1.12623,1.12039,SL,-59.4,-6565.0,115352,115359
EURUSD,2017-06-10,midpoint,SELL1,SELL,130.0,1.11941,1.11663,TP,26.8,3484.0,115395,115524
EURUSD,2017-06-10,midpoint,BUY1,BUY,114.605263,1.11957,1.11663,SL,-30.4,-3484.0,115440,115524
EURUSD,2017-06-14,midpoint,SELL1,SELL,130.0,1.12091,1.11852,TP,22.9,2977.0,115491,115522
EURUSD,2017-06-14,midpoint,BUY1,BUY,143.816425,1.12049,1.11852,SL,-20.7,-2977.0,115491,115522
EURUSD,2017-06-17,midpoint,SELL1,SELL,130.0,1.11968,1.11384,TP,57.4,7462.0,115563,115648
EURUSD,2017-06-17,midpoint,BUY1,BUY,168.823529,1.11816,1.11384,SL,-44.2,-7462.0,115563,115648
EURUSD,2017-06-22,midpoint,SELL1,SELL,130.0,1.11666,1.14034,TIME_EXIT,-237.8,-30914.0,115683,116114
EURUSD,2017-06-22,midpoint,BUY1,BUY,218.947368,1.1149,1.14034,TIME_EXIT,253.4,55481.2632,115683,116114
EURUSD,2017-06-24,midpoint,SELL1,SELL,130.0,1.11918,1.14738,TIME_EXIT,-283.0,-36790.0,115731,116162
EURUSD,2017-06-24,midpoint,BUY1,BUY,132.61745,1.11889,1.14738,TIME_EXIT,283.9,37650.094,115731,116162
EURUSD,2017-06-28,midpoint,SELL1,SELL,130.0,1.13369,1.14685,TIME_EXIT,-132.6,-17238.0,115827,116258
EURUSD,2017-06-28,midpoint,BUY1,BUY,134.753989,1.13294,1.14685,TIME_EXIT,138.1,18609.5259,115827,116258
EURUSD,2017-06-29,midpoint,SELL1,SELL,130.0,1.1378,1.1474,TIME_EXIT,-97.0,-12610.0,115851,116282
EURUSD,2017-06-29,midpoint,BUY1,BUY,138.785982,1.13706,1.1474,TIME_EXIT,102.4,14211.6846,115851,116282
EURUSD,2017-06-30,midpoint,SELL1,SELL,130.0,1.14393,1.13768,TP,61.5,7995.0,115875,115956
EURUSD,2017-06-30,midpoint,BUY1,BUY,160.865191,1.14255,1.13768,SL,-49.7,-7995.0,115875,115956
EURUSD,2017-07-01,midpoint,SELL1,SELL,130.0,1.14251,1.13921,TP,32.0,4160.0,115899,115955
EURUSD,2017-07-01,midpoint,BUY1,BUY,125.301205,1.14243,1.13921,SL,-33.2,-4160.0,115899,115955
EURUSD,2017-07-05,midpoint,SELL1,SELL,130.0,1.13596,1.13359,TP,22.7,2951.0,115995,116004
EURUSD,2017-07-05,midpoint,BUY1,BUY,134.136364,1.13569,1.13359,SL,-22.0,-2951.0,115995,116004
EURUSD,2017-07-06,midpoint,SELL1,SELL,130.0,1.13465,1.16685,SL,-323.0,-41990.0,116019,116385
EURUSD,2017-07-06,midpoint,BUY1,BUY,116.021505,1.13485,1.16814,TIME_EXIT,331.9,38507.5376,116026,116450
EURUSD,2017-07-07,midpoint,SELL1,SELL,130.0,1.14212,1.16384,TIME_EXIT,-218.2,-28366.0,116043,116474
EURUSD,2017-07-07,midpoint,BUY1,BUY,153.45098,1.1405399999999999,1.16384,TIME_EXIT,232.0,35600.6275,116043,116474
EURUSD,2017-07-12,midpoint,SELL1,SELL,130.0,1.14741,1.13828,TP,90.3,11739.0,116163,116197
EURUSD,2017-07-12,midpoint,BUY1,BUY,150.693196,1.14597,1.13828,SL,-77.9,-11739.0,116163,116197
EURUSD,2017-07-15,midpoint,SELL1,SELL,130.0,1.14685,1.17719,SL,-304.4,-39572.0,116235,116526
EURUSD,2017-07-15,midpoint,BUY1,BUY,160.861789,1.14519,1.18109,TIME_EXIT,358.0,57588.5203,116235,116666
EURUSD,2017-07-18,midpoint,SELL1,SELL,130.0,1.14733,1.1787,SL,-314.7,-40911.0,116307,116633
EURUSD,2017-07-18,midpoint,BUY1,BUY,146.837349,1.1467,1.1773,TIME_EXIT,305.0,44785.3916,116307,116738
EURUSD,2017-07-19,midpoint,SELL1,SELL,130.0,1.15477,1.18831,SL,-336.4,-43732.0,116331,116684
EURUSD,2017-07-19,midpoint,BUY1,BUY,105.598706,1.15631,1.1773,TIME_EXIT,208.9,22059.5696,116367,116762
EURUSD,2017-07-21,midpoint,SELL1,SELL,130.0,1.16283,1.17995,TIME_EXIT,-172.2,-22386.0,116379,116810
EURUSD,2017-07-21,midpoint,BUY1,BUY,120.481852,1.1638,1.17995,TIME_EXIT,160.5,19337.3373,116384,116810
EURUSD,2017-07-22,midpoint,SELL1,SELL,130.0,1.16622,1.1619,TP,42.2,5486.0,116403,116507
EURUSD,2017-07-22,midpoint,BUY1,BUY,122.455357,1.16628,1.1619,SL,-44.8,-5486.0,116448,116507
EURUSD,2017-07-24,midpoint,SELL1,SELL,130.0,1.16811,1.16615,TP,18.6,2418.0,116451,116457
EURUSD,2017-07-24,midpoint,BUY1,BUY,2198.181818,1.16616,1.16615,SL,-1.1,-2418.0,116451,116457
EURUSD,2017-07-27,midpoint,SELL1,SELL,130.0,1.17315,1.18252,TIME_EXIT,-94.7,-12311.0,116523,116954
EURUSD,2017-07-27,midpoint,BUY1,BUY,132.469775,1.17273,1.18252,TIME_EXIT,96.9,12836.3212,116523,116954
