date,year,session,atr_pips,adx,pdi,ndi,di_spread,yr_atr_ratio,net_pips,win
2014-01-01,2014,0,48.22868965547202,46.5006627434739,33.62576812706705,13.168078017484525,20.457690109582522,1.007698951540689,8.620928735572079,1
2014-01-01,2014,8,48.22868965547202,46.5006627434739,33.62576812706705,13.168078017484525,20.457690109582522,1.007698951540689,8.620928735572079,1
2014-01-01,2014,16,48.22868965547202,46.5006627434739,33.62576812706705,13.168078017484525,20.457690109582522,1.007698951540689,8.620928735572079,1
2014-01-02,2014,0,46.00521182293835,46.37196733997214,33.54037308967668,12.81846835188274,20.72190473779394,0.3716970169774228,-4.701042364588034,0
2014-01-02,2014,8,46.00521182293835,46.37196733997214,33.54037308967668,12.81846835188274,20.72190473779394,0.3716970169774228,-5.801042364589023,0
2014-01-02,2014,16,46.00521182293835,46.37196733997214,33.54037308967668,12.81846835188274,20.72190473779394,0.3716970169774228,23.99895763541258,1
2014-01-03,2014,0,49.11912526415705,44.20720850581056,29.17021408094998,21.09494373561745,8.07527034533253,1.8241367190099886,3.00950828050253,1
2014-01-03,2014,8,49.11912526415705,44.20720850581056,29.17021408094998,21.09494373561745,8.07527034533253,1.8241367190099886,52.40950828050251,1
2014-01-03,2014,16,49.11912526415705,44.20720850581056,29.17021408094998,21.09494373561745,8.07527034533253,1.8241367190099886,33.90950828050228,1
2014-01-04,2014,0,51.367759173860094,41.13619108099151,25.900904842268453,25.280097424171444,0.6208074180970087,1.5690775945121485,16.547103669544242,1
2014-01-04,2014,8,51.367759173860094,41.13619108099151,25.900904842268453,25.280097424171444,0.6208074180970087,1.5690775945121485,16.547103669544242,1
2014-01-04,2014,16,51.367759173860094,41.13619108099151,25.900904842268453,25.280097424171444,0.6208074180970087,1.5690775945121485,16.547103669544242,1
2014-01-05,2014,0,47.69863351858437,38.284532043659524,25.900904842268453,25.280097424171444,0.6208074180970087,0.0,-6.639726703715439,0
2014-01-05,2014,8,47.69863351858437,38.284532043659524,25.900904842268453,25.280097424171444,0.6208074180970087,0.0,-6.639726703715439,0
2014-01-05,2014,16,47.69863351858437,38.284532043659524,25.900904842268453,25.280097424171444,0.6208074180970087,0.0,-6.639726703715439,0
2014-01-06,2014,0,45.17730255297127,35.81851111511518,26.72121053725377,24.784473689076034,1.9367368481777376,0.2744741119827086,8.464539489405979,1
2014-01-06,2014,8,45.17730255297127,35.81851111511518,26.72121053725377,24.784473689076034,1.9367368481777376,0.2744741119827086,37.89787282273869,1
2014-01-06,2014,16,45.17730255297127,35.81851111511518,26.72121053725377,24.784473689076034,1.9367368481777376,0.2744741119827086,25.997872822738714,1
2014-01-07,2014,0,49.39320951347334,34.68946143923679,22.694702548159874,34.05043483276968,11.355732284609807,2.10960172514355,0.12135809730642677,1
2014-01-07,2014,8,49.39320951347334,34.68946143923679,22.694702548159874,34.05043483276968,11.355732284609807,2.10960172514355,-7.678641902693869,0
2014-01-07,2014,16,49.39320951347334,34.68946143923679,22.694702548159874,34.05043483276968,11.355732284609807,2.10960172514355,16.154691430639105,1
2014-01-08,2014,0,49.82940883393947,33.64105816877829,20.889176710968844,31.341479307677773,10.452302596708929,1.1138000891192086,8.800784899877726,1
2014-01-08,2014,8,49.82940883393947,33.64105816877829,20.889176710968844,31.341479307677773,10.452302596708929,1.1138000891192086,38.20078489987742,1
2014-01-08,2014,16,49.82940883393947,33.64105816877829,20.889176710968844,31.341479307677773,10.452302596708929,1.1138000891192086,20.300784899877215,1
2014-01-09,2014,0,49.59159391722954,31.775449274174594,25.150632346082652,29.24236377981021,4.091731433727556,0.9376589120650327,-4.651652116778223,0
2014-01-09,2014,8,49.59159391722954,31.775449274174594,25.150632346082652,29.24236377981021,4.091731433727556,0.9376589120650327,-8.084985450111844,0
2014-01-09,2014,16,49.59159391722954,31.775449274174594,25.150632346082652,29.24236377981021,4.091731433727556,0.9376589120650327,8.4483478832218,1
2014-01-10,2014,0,49.47790863742746,30.195830826080314,23.407819404974322,28.414240283849786,5.006420878875463,0.9701299291314609,-3.6955817274866263,0
2014-01-10,2014,8,49.47790863742746,30.195830826080314,23.407819404974322,28.414240283849786,5.006420878875463,0.9701299291314609,0.9044182725140217,1
2014-01-10,2014,16,49.47790863742746,30.195830826080314,23.407819404974322,28.414240283849786,5.006420878875463,0.9701299291314609,54.4044182725151,1
2014-01-11,2014,0,56.71520087761118,29.91427146410559,18.962174307504295,32.46346029068657,13.501285983182274,2.6588991604811394,30.590293157810947,1
2014-01-11,2014,8,56.71520087761118,29.91427146410559,18.962174307504295,32.46346029068657,13.501285983182274,2.6588991604811394,30.590293157810947,1
2014-01-11,2014,16,56.71520087761118,29.91427146410559,18.962174307504295,32.46346029068657,13.501285983182274,2.6588991604811394,30.590293157810947,1
2014-01-12,2014,0,52.66411510063895,29.652823485129062,18.9621743075043,32.46346029068658,13.501285983182278,0.0,3.4671769798726473,1
2014-01-12,2014,8,52.66411510063895,29.652823485129062,18.9621743075043,32.46346029068658,13.501285983182278,0.0,3.4671769798726473,1
2014-01-12,2014,16,52.66411510063895,29.652823485129062,18.9621743075043,32.46346029068658,13.501285983182278,0.0,3.4671769798726473,1
2014-01-13,2014,0,50.49524973630769,29.72381644663188,18.36401834337814,34.593879691355276,16.229861347977135,0.4416256997728424,-3.9657166139286346,0
2014-01-13,2014,8,50.49524973630769,29.72381644663188,18.36401834337814,34.593879691355276,16.229861347977135,0.4416256997728424,47.93428338607191,1
2014-01-13,2014,16,50.49524973630769,29.72381644663188,18.36401834337814,34.593879691355276,16.229861347977135,0.4416256997728424,54.734283386071695,1
2014-01-14,2014,0,55.28844618371429,30.968916327392684,15.573964277257273,43.36832950488247,27.794365227625192,2.127026677675748,16.24231076325833,1
2014-01-14,2014,8,55.28844618371429,30.968916327392684,15.573964277257273,43.36832950488247,27.794365227625192,2.127026677675748,-0.857689236742317,0
2014-01-14,2014,16,55.28844618371429,30.968916327392684,15.573964277257273,43.36832950488247,27.794365227625192,2.127026677675748,21.44231076325758,1
2014-01-15,2014,0,60.41784288487756,31.517297330572564,16.307604150525304,36.851670545407345,20.54406639488204,2.10368318250258,20.167137153951046,1
2014-01-15,2014,8,60.41784288487756,31.517297330572564,16.307604150525304,36.851670545407345,20.54406639488204,2.10368318250258,20.167137153951046,1
2014-01-15,2014,16,60.41784288487756,31.517297330572564,16.307604150525304,36.851670545407345,20.54406639488204,2.10368318250258,51.11643142302631,1
2014-01-16,2014,0,60.42371125024337,31.148866138901123,19.94074499788568,34.216084966424035,14.275339968538354,1.0012625631259169,4.2819244166188355,1
