side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
BUY,00-05%,Q3,46,30,16,3.0111111111113,2.071041666666428,1.2434057971016552,-0.0211278557400564,90.333333333339,33.13666666666285,adx14,0.6521739130434783,1.4539114106564637,2.7260838949808694
BUY,00-05%,Q2,50,30,20,2.476666666667114,6.701666666666654,-1.194666666666393,-0.04195414254099865,74.30000000001343,134.03333333333308,adx14,0.6,0.36955981099235796,0.554339716488537
BUY,00-05%,Q5,42,35,7,2.5495238095237727,15.892619047619096,-0.5241666666667055,-0.04367704422406493,89.23333333333204,111.24833333333368,adx14,0.8333333333333334,0.16042187897945756,0.8021093948972877
BUY,00-05%,Q4,43,28,15,2.4011904761904077,10.753111111111346,-2.1875193798450883,-0.052019165733210776,67.23333333333142,161.2966666666702,adx14,0.6511627906976745,0.22330193107641402,0.4168302713426395
BUY,00-05%,Q1,34,19,15,2.4192982456141565,10.819333333333589,-3.4212745098039665,-0.07513657867335512,45.96666666666897,162.29000000000383,adx14,0.5588235294117647,0.2236088094411947,0.28323782529217995
BUY,05-10%,Q5,44,38,6,8.475438596490898,46.57194444444406,0.9689772727270399,-0.02336424503152562,322.0666666666541,279.43166666666434,adx14,0.8636363636363636,0.1819859294601989,1.1525775532479263
BUY,05-10%,Q1,37,32,5,5.490625000000172,41.54666666666634,-0.865765765765573,-0.028706995425145963,175.7000000000055,207.7333333333317,adx14,0.8648648648648649,0.13215560815148142,0.8457958921694811
BUY,05-10%,Q4,49,41,8,5.915447154471522,52.47874999999953,-3.618299319727833,-0.06053909957079149,242.5333333333324,419.82999999999623,adx14,0.8367346938775511,0.11272080898404736,0.5776941460432427
BUY,05-10%,Q2,31,24,7,6.912499999999885,38.65214285714324,-3.3762903225808207,-0.1255040764167193,165.89999999999725,270.56500000000267,adx14,0.7741935483870968,0.17883872636888998,0.61316134755048
BUY,05-10%,Q3,40,28,12,5.08571428571406,43.431944444445456,-9.469583333333794,-0.19827824190288884,142.39999999999367,521.1833333333454,adx14,0.7,0.11709616851760538,0.2732243932077459
BUY,10-15%,Q1,56,43,13,12.127906976743912,44.86256410256358,-1.1020238095238972,-0.030022081122669363,521.4999999999882,583.2133333333265,adx14,0.7678571428571429,0.270334681473342,0.8941839464118234
BUY,10-15%,Q2,43,33,10,17.070707070707172,27.313499999999976,6.748798449612486,-0.03337769609866321,563.3333333333367,273.13499999999976,adx14,0.7674418604651163,0.6249915635384402,2.0624721596768527
BUY,10-15%,Q4,35,26,9,12.539743589743946,33.392777777778136,0.7285238095239819,-0.059065713087324466,326.03333333334257,300.5350000000032,adx14,0.7428571428571429,0.37552262567652456,1.084843140843293
BUY,10-15%,Q3,53,38,15,14.47543859649135,45.00611111111128,-2.3589622641509034,-0.10019923149728387,550.0666666666713,675.0916666666692,adx14,0.7169811320754716,0.3216327347358301,0.8148029279974363
BUY,10-15%,Q5,44,30,14,13.702222222222238,58.74214285714245,-9.348257575757437,-0.14342210415076928,411.0666666666671,822.3899999999943,adx14,0.6818181818181818,0.23326051035532128,0.4998439507614027
