pair,date,leg,entry,exit,reason,pips,atr_pips,dist_pips
USDJPY,2022-01-01,BUY,115.097,114.97528,SL,-14.172,38.57196,38.57196
USDJPY,2022-01-01,SELL,115.097,115.33172,SL,-25.472,38.57196,38.57196
USDJPY,2022-01-02,BUY,115.091,115.002832,SL,-10.8168,35.81682,35.81682
USDJPY,2022-01-02,SELL,115.091,115.304168,SL,-23.3168,35.81682,35.81682
USDJPY,2022-01-03,BUY,115.101,115.444085,TP,32.3085,34.308476,34.308476
USDJPY,2022-01-03,SELL,115.101,115.289085,SL,-20.8085,34.308476,34.308476
USDJPY,2022-01-04,BUY,115.214,115.110421,SL,-12.3579,34.85787,34.85787
USDJPY,2022-01-04,SELL,115.214,115.389579,SL,-19.5579,34.85787,34.85787
USDJPY,2022-01-05,BUY,115.937667,115.800391,SL,-15.7275,39.96088,39.96088
USDJPY,2022-01-05,SELL,115.937667,116.018609,SL,-10.0942,39.96088,39.96088
USDJPY,2022-01-06,BUY,115.994667,115.681506,SL,-33.3161,41.549388,41.549388
USDJPY,2022-01-06,SELL,115.994667,116.039494,SL,-6.4827,41.549388,41.549388
USDJPY,2022-01-07,BUY,115.890333,115.620256,SL,-29.0078,42.574432,42.574432
USDJPY,2022-01-07,SELL,115.890333,115.464589,TP,40.5744,42.574432,42.574432
USDJPY,2022-01-08,BUY,115.694,115.415166,SL,-29.8834,43.383401,43.383401
USDJPY,2022-01-08,SELL,115.694,115.260166,TP,41.3834,43.383401,43.383401
USDJPY,2022-01-09,BUY,115.529,115.446154,SL,-10.2846,40.284587,40.284587
USDJPY,2022-01-09,SELL,115.529,115.126154,TP,38.2846,40.284587,40.284587
USDJPY,2022-01-10,BUY,115.605,115.465143,SL,-15.9857,38.385688,38.385688
USDJPY,2022-01-10,SELL,115.605,115.221143,TP,36.3857,38.385688,38.385688
USDJPY,2022-01-11,BUY,115.389,115.264847,SL,-14.4153,41.415281,41.415281
USDJPY,2022-01-11,SELL,115.389,114.974847,TP,39.4153,41.415281,41.415281
USDJPY,2022-01-12,BUY,115.378667,115.046787,SL,-35.188,42.421333,42.421333
USDJPY,2022-01-12,SELL,115.378667,114.954453,TP,40.4213,42.421333,42.421333
USDJPY,2022-01-13,BUY,114.840667,114.584088,SL,-27.6579,47.191237,47.191237
USDJPY,2022-01-13,SELL,114.840667,114.368754,TP,45.1912,47.191237,47.191237
USDJPY,2022-01-14,BUY,114.270333,114.758609,TP,46.8276,48.827578,48.827578
USDJPY,2022-01-14,SELL,114.270333,114.702276,SL,-45.1942,48.827578,48.827578
USDJPY,2022-01-15,BUY,113.977333,113.72153,SL,-27.5804,50.947036,50.947036
USDJPY,2022-01-15,SELL,113.977333,113.467863,TP,48.947,50.947036,50.947036
USDJPY,2022-01-16,BUY,114.187,114.66008,TP,45.308,47.307962,47.307962
USDJPY,2022-01-16,SELL,114.187,114.59208,SL,-42.508,47.307962,47.307962
USDJPY,2022-01-17,BUY,114.255333,114.095997,SL,-17.9336,45.500251,45.500251
USDJPY,2022-01-17,SELL,114.255333,114.477003,SL,-24.1669,45.500251,45.500251
USDJPY,2022-01-18,BUY,114.498667,114.947955,TP,42.9288,44.928804,44.928804
USDJPY,2022-01-18,SELL,114.498667,114.897288,SL,-41.8621,44.928804,44.928804
USDJPY,2022-01-19,BUY,114.686667,114.326375,SL,-38.0291,46.062461,46.062461
USDJPY,2022-01-19,SELL,114.686667,114.226042,TP,44.0625,46.062461,46.062461
USDJPY,2022-01-20,BUY,114.446333,114.076706,SL,-38.9628,46.929428,46.929428
USDJPY,2022-01-20,SELL,114.446333,113.977039,TP,44.9294,46.929428,46.929428
USDJPY,2022-01-21,BUY,114.132,114.208084,BOTH_SL,5.6084,48.491612,48.491612
USDJPY,2022-01-21,SELL,114.132,114.260916,SL,-14.8916,48.491612,48.491612
USDJPY,2022-01-22,BUY,113.763667,113.493078,SL,-29.0589,48.092211,48.092211
USDJPY,2022-01-22,SELL,113.763667,113.946922,SL,-20.3255,48.092211,48.092211
USDJPY,2022-01-23,BUY,113.656,113.527429,SL,-14.8571,44.657053,44.657053
USDJPY,2022-01-23,SELL,113.656,113.912571,SL,-27.6571,44.657053,44.657053
USDJPY,2022-01-24,BUY,113.739,113.547042,SL,-21.1958,42.695835,42.695835
USDJPY,2022-01-24,SELL,113.739,113.892958,SL,-17.3958,42.695835,42.695835
USDJPY,2022-01-25,BUY,113.858,114.29939,TP,42.139,44.13899,44.13899
