side,bucket,indicator_bucket,trades,positive_trades,avg_positive_pips,median_positive_pips,positive_rate,avg_all_pips,pivot_first_rate,indicator
BUY,00-05%,WR_-90_-80,30,22.0,2.983333333333599,2.266666666667817,0.7333333333333333,-1.568722222222154,0.9333333333333333,wr_band
BUY,00-05%,WR_-80_-20,104,69.0,2.920772946860123,1.8333333333335984,0.6634615384615384,-0.20810897435885345,0.9519230769230769,wr_band
BUY,00-05%,WR_-20_-10,48,31.0,2.0494623655911366,1.9999999999972715,0.6458333333333334,-1.6629166666667647,0.9166666666666666,wr_band
BUY,05-10%,WR_-80_-20,117,93.0,6.081003584229274,5.466666666665333,0.7948717948717948,-3.8336467236468534,0.8034188034188035,wr_band
BUY,05-10%,WR_-20_-10,35,28.0,5.55357142857171,3.600000000000648,0.8,-6.149809523809259,0.8,wr_band
BUY,10-15%,WR_-90_-80,34,27.0,17.40123456790113,14.26666666666756,0.7941176470588235,2.690980392156759,0.7941176470588235,wr_band
BUY,10-15%,WR_-80_-20,121,90.0,14.754444444444445,12.900000000001,0.743801652892562,1.1252066115702717,0.743801652892562,wr_band
BUY,10-15%,WR_-20_-10,32,25.0,10.633333333333269,10.666666666667425,0.78125,1.8220312500001126,0.78125,wr_band
BUY,15-20%,WR_-95_-90,38,27.0,21.869135802468925,18.999999999998863,0.7105263157894737,-5.994868421052812,0.7105263157894737,wr_band
BUY,15-20%,WR_-80_-20,161,98.0,21.481292517006572,17.616666666665083,0.6086956521739131,-5.848964803312768,0.6086956521739131,wr_band
BUY,15-20%,WR_-90_-80,33,21.0,21.12857142857159,22.299999999997567,0.6363636363636364,-17.604999999999848,0.6363636363636364,wr_band
BUY,20-25%,WR_-90_-80,30,13.0,42.664102564102116,37.16666666666748,0.43333333333333335,-8.370388888889133,0.43333333333333335,wr_band
BUY,20-25%,WR_-95_-90,51,29.0,37.05862068965529,36.83333333333445,0.5686274509803921,-6.019901960784161,0.5686274509803921,wr_band
BUY,20-25%,WR_-80_-20,146,79.0,32.375949367088616,30.93333333333328,0.541095890410959,-2.082945205479534,0.541095890410959,wr_band
BUY,25-30%,WR_-80_-20,99,46.0,35.22898550724638,34.83333333333201,0.46464646464646464,-4.4711952861952815,0.46464646464646464,wr_band
BUY,25-30%,WR_-100_-95,42,20.0,33.163333333333554,31.166666666666544,0.47619047619047616,-8.966150793650684,0.47619047619047616,wr_band
BUY,30-35%,WR_-100_-95,31,15.0,62.03111111111102,66.16666666666669,0.4838709677419355,10.82344086021501,0.4838709677419355,wr_band
BUY,30-35%,WR_-80_-20,42,25.0,32.962666666666394,25.833333333334508,0.5952380952380952,6.388690476190246,0.5952380952380952,wr_band
SELL,00-05%,WR_-80_-20,145,97.0,2.715463917525626,1.9999999999972715,0.6689655172413793,-3.1692413793104492,0.9310344827586207,wr_band
SELL,00-05%,WR_-20_-10,39,30.0,2.155555555555812,1.2666666666673052,0.7692307692307693,-1.1157264957262565,0.9487179487179487,wr_band
SELL,00-05%,WR_-90_-80,30,18.0,2.057407407407374,1.600000000001046,0.6,-4.016277777777627,0.9333333333333333,wr_band
SELL,05-10%,WR_-80_-20,145,122.0,7.712841530054784,7.0000000000012506,0.8413793103448276,-0.5100574712642745,0.8413793103448276,wr_band
SELL,05-10%,WR_-20_-10,47,36.0,5.912037037036869,5.850000000000023,0.7659574468085106,-7.199148936170429,0.7659574468085106,wr_band
SELL,10-15%,WR_-20_-10,59,50.0,13.936000000000009,10.633333333334406,0.847457627118644,3.688559322033849,0.847457627118644,wr_band
SELL,10-15%,WR_-80_-20,122,98.0,12.315986394557692,9.950000000000415,0.8032786885245902,1.0624180327868122,0.8032786885245902,wr_band
SELL,15-20%,WR_-80_-20,126,92.0,20.04927536231903,18.266666666668186,0.7301587301587301,3.1288888888891235,0.7301587301587301,wr_band
SELL,15-20%,WR_-20_-10,37,28.0,19.010714285714013,13.916666666664469,0.7567567567567568,2.0145945945941937,0.7567567567567568,wr_band
SELL,15-20%,WR_-10_-5,56,41.0,16.97479674796722,15.66666666666572,0.7321428571428571,-0.5838095238096902,0.7321428571428571,wr_band
SELL,20-25%,WR_-10_-5,64,38.0,37.32105263157909,32.35000000000008,0.59375,1.5902083333336328,0.59375,wr_band
SELL,20-25%,WR_-20_-10,37,29.0,31.232183908046142,26.33333333333121,0.7837837837837838,16.550405405405336,0.7837837837837838,wr_band
SELL,20-25%,WR_-80_-20,176,107.0,29.591900311526743,24.00000000000284,0.6079545454545454,0.21908143939407754,0.6079545454545454,wr_band
SELL,20-25%,WR_-5_0,50,27.0,25.22839506172854,21.66666666666879,0.54,-5.198366666666403,0.54,wr_band
SELL,25-30%,WR_-80_-20,146,69.0,35.896618357487824,30.299999999998818,0.4726027397260274,-3.1992465753424724,0.4726027397260274,wr_band
SELL,25-30%,WR_-5_0,109,60.0,33.416666666666394,29.716666666667436,0.5504587155963303,1.7953822629968075,0.5504587155963303,wr_band
SELL,25-30%,WR_-10_-5,32,17.0,29.133333333333297,30.00000000000307,0.53125,-1.2323437500004741,0.53125,wr_band
SELL,25-30%,WR_-20_-10,35,19.0,27.799999999999745,25.400000000001,0.5428571428571428,-1.280952380952775,0.5428571428571428,wr_band
SELL,30-35%,WR_-5_0,66,27.0,37.56049382716059,33.6666666666664,0.4090909090909091,-6.640454545454507,0.4090909090909091,wr_band
SELL,30-35%,WR_-80_-20,76,37.0,36.181981981981835,29.333333333334167,0.4868421052631579,3.4730701754385094,0.4868421052631579,wr_band
