side,bucket,trades,avg_entry_norm,avg_mfe_norm,med_mfe_norm,avg_mfe_pips,med_mfe_pips,pivot_first_rate,sl_first_rate,avg_pips_first_event
BUY,00-05%,215,0.026157640120344265,0.1335191838625556,0.08832807570975061,11.399534883720913,7.299999999999329,0.934884,0.065116,-1.0927364341084596
BUY,05-10%,201,0.07425073674497273,0.1312295750683797,0.11097992916174858,12.083582089552264,9.000000000000341,0.81592,0.18408,-3.234543946932127
BUY,10-15%,231,0.12638788370962026,0.1716645075946192,0.15523465703971467,17.922077922077975,15.100000000001046,0.735931,0.264069,-1.2223593073592514
BUY,15-20%,267,0.17407516130426198,0.18044116317463543,0.18604651162790403,21.471910112359534,18.799999999998818,0.64794,0.35206,-5.869194756554444
BUY,20-25%,274,0.22490627578337305,0.18994017680982714,0.22098848726708686,26.784306569343094,22.49999999999872,0.536496,0.463504,-3.4163868613139172
BUY,25-30%,203,0.2728218702400558,0.21328311112315948,0.25906735751295246,28.25665024630552,23.699999999999477,0.492611,0.507389,-2.7034400656814017
BUY,30-35%,96,0.316334568780325,0.26825407761090686,0.3068545967546319,35.11145833333335,29.249999999999687,0.510417,0.489583,6.359965277777647
BUY,35-40%,3,0.35632455017183107,0.6756008316423691,0.6690140845070501,40.00000000000009,17.00000000000159,0.666667,0.333333,16.411111111110245
BUY,40-45%,3,0.42191831348457115,0.2285714285714224,0.0,8.000000000000304,0.0,0.333333,0.666667,-5.869444444443142
SELL,00-05%,235,0.02558527302181182,0.14239426734251281,0.07865168539325439,12.558723404255273,7.000000000000739,0.93617,0.06383,-2.7917092198581543
SELL,05-10%,238,0.07722258673225615,0.142186193467225,0.11016398179585662,12.751680672268998,10.500000000001819,0.836134,0.163866,-1.6696918767506541
SELL,10-15%,248,0.12623555238449782,0.1928417754414115,0.1612903225806453,18.056854838709675,14.499999999998181,0.830645,0.169355,2.619428763440788
SELL,15-20%,269,0.17594581408817875,0.21576684085802506,0.1963426371511003,21.507063197026046,18.999999999999773,0.739777,0.260223,2.2457806691450077
SELL,20-25%,350,0.224595897476759,0.22638322186165705,0.24008194622279866,28.788857142857132,24.099999999999966,0.614286,0.385714,1.367861904762086
SELL,25-30%,336,0.2739192098660592,0.23512020937956918,0.2705518018018027,29.041369047618954,24.149999999998784,0.511905,0.488095,-1.1572966269842777
SELL,30-35%,169,0.31784750079227597,0.2538357125130222,0.2884615384615472,30.168047337278047,26.499999999998636,0.47929,0.52071,0.8569625246548407
SELL,35-40%,13,0.36779497300374575,0.34749660717028136,0.3703703703703763,23.900000000000322,23.99999999999949,0.538462,0.461538,5.700641025641446
SELL,40-45%,2,0.41077417332704236,0.2912929007992446,0.2912929007992446,18.39999999999975,18.39999999999975,0.5,0.5,6.385833333331959
SELL,45-50%,1,0.4823399558498676,0.48344370860928615,0.48344370860928615,29.20000000000016,29.20000000000016,1.0,0.0,28.13333333333128
SELL,50-55%,1,0.5306122448979462,0.12987012987011343,0.12987012987011343,6.999999999999318,6.999999999999318,0.0,1.0,-2.0450000000020054
