source,date,entry_px,exit_px,net_pips
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-25,133.47,134.19902,71.9016
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-26,133.47,134.17619,69.6193
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-28,133.53,134.18056,64.0558
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-29,133.395,134.02405,61.905
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2003-12-30,133.49333,134.1262,62.2868
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-01-04,134.69,135.39299,69.299
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-01-06,134.94333,135.68442,73.1085
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-01-18,132.2,133.20635,99.6351
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-01-19,132.03567,133.00725,96.1584
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-03,131.32333,132.39232,105.8992
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-04,132.11667,133.2445,111.7835
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-05,132.16333,133.25741,108.4075
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-06,132.68667,133.78189,108.5227
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-09,133.60533,134.64239,102.7056
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-10,134.24,135.29788,104.788
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-11,134.13,135.18317,104.3167
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-14,134.75,135.84425,108.4251
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-15,134.23,135.24609,100.609
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-16,134.27467,135.23462,94.9957
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-18,135.44667,136.42087,96.42
