date,net_pips
2003-10-29,-75.51399975325472
2003-10-30,-73.141571199451
2004-01-29,115.88899107523412
2004-01-30,-93.54213648231087
2004-02-03,-83.23011974362748
2004-06-01,-83.2065863744001
2004-06-08,114.50723770580476
2004-06-09,115.29172072682081
2004-06-21,104.71570752958053
2004-06-24,-87.55916389394633
2004-08-19,81.88560285048447
2004-08-24,76.94459271651135
2004-08-25,-64.82470908322375
2004-10-25,-50.79891505384444
2004-11-03,-53.54630996633978
2004-11-16,65.95034018044907
2005-01-14,78.42777536832182
2005-04-13,59.015681177398505
2005-08-18,72.41631115522205
2005-08-19,73.867288929849
2005-11-22,-53.47108095393571
2006-04-24,70.2737683166722
2006-04-25,75.58278486548227
2006-04-27,77.02097266462624
2006-05-03,-58.106563050587056
2006-07-14,-53.530444735492665
2006-07-18,-48.970612039006255
2006-08-08,-52.71331929877283
2006-09-05,57.18848076918641
2006-09-26,69.07174828523546
2006-10-28,54.11963671698936
2007-02-28,79.6553575719505
2007-03-03,94.54467055948805
2007-05-07,67.94922851253966
2007-05-17,73.18348232982623
2007-05-22,65.31822652148003
2007-05-24,63.269873888417806
2007-05-29,59.980794452558484
2007-05-30,64.27002342023138
2007-06-03,61.025747614521265
2007-06-04,-46.544105438943916
2007-06-05,-45.590955050449566
2007-06-06,57.37765288232788
2009-04-02,-145.24117291656273
2009-04-20,162.1643053065872
2009-04-21,-133.77093236184783
2009-04-27,156.2464509972889
2009-04-28,163.14956164034038
2009-06-23,-108.29908215047317
2009-09-02,127.57355521736054
2009-09-08,-87.75895950337349
2010-01-21,105.60688819934308
2010-04-22,105.81538318192878
2010-08-24,91.44315650675219
2010-11-09,90.51463034236684
2010-11-10,-72.88259310169087
2011-03-14,-63.9237566975732
2011-05-12,129.42022289409942
2011-07-10,90.00974680873719
2011-11-30,-64.10759639728758
2012-04-03,95.29451579760797
2012-04-09,-73.63034628965386
2012-04-15,93.23705507194882
2012-04-16,88.41033685252364
2012-09-27,-56.175070782509295
2012-10-10,69.26727338534187
2012-10-11,-55.63590956095743
2012-10-15,-51.76659915062862
2012-11-08,70.66042106732249
2013-02-24,-99.89346782845507
2013-03-20,-108.74051058868963
2013-05-30,-82.68677380545262
2013-08-08,-71.78790943131423
2013-08-12,-68.16572212796166
2013-10-08,-59.54908543206818
2013-11-01,70.94218155941599
2014-01-07,-56.16020028387629
2014-01-17,79.95045726359729
2014-01-20,71.76253630033693
2014-01-22,-58.297651627774826
2014-01-30,88.44056375786715
2014-04-09,-60.597996944313536
2014-12-25,86.28796953923279
2014-12-29,-55.78640802730581
2014-12-30,69.78252111867585
2015-01-05,74.84112295476189
2015-07-21,-82.39104584890902
2015-09-03,89.89008906537401
2017-01-04,-60.45626382374769
2017-01-06,-60.2330029908851
2017-01-10,73.35535336707346
2017-01-16,69.86795526263074
2017-01-17,-56.04996804473592
2017-01-18,-56.4128274701128
2017-01-23,69.22463875881044
2017-01-24,-56.65045625629352
2017-01-30,66.76072465203384
2017-06-12,64.87166024611406
2017-06-13,-52.70618589008171
2017-06-14,65.88875296731283
2017-06-23,-49.001917270696026
2017-08-18,70.36569820775094
2017-10-18,-44.39174024635781
2018-02-09,95.71473434121935
2018-07-25,53.18498920885213
2018-10-11,-58.60791800091738
2018-12-21,56.83118761242889
2021-01-19,-32.932058069439506
2021-04-21,47.816559097926415
2022-01-07,60.881125113637836
2022-01-10,52.51513552283507
2023-03-16,130.5538770033868
2023-06-06,70.22958564550856
2023-07-12,79.41110880403721
2023-07-26,90.28520553568364
2023-08-09,-80.43119666363998
2023-09-22,-57.134626086748085
2023-09-28,-51.704575185926615
2023-10-03,66.42374457975302
2023-11-29,75.60612483985858
2023-11-30,77.48575877986832
2023-12-04,79.55075493314803
2024-02-01,84.10781865415709
2024-04-30,113.69726999818874
2024-06-07,85.16977718769476
2024-06-14,-68.70595528202534
2024-07-12,87.30678290587457
2024-11-25,109.92176811920638
2024-11-26,109.3242846821189
2024-11-27,112.55247863339741
2025-01-28,103.95268241875522
2025-01-30,103.66584351412962
2025-02-03,109.99564300309908
2025-04-29,-80.31683673448902
2025-07-29,82.28881607786798
2025-07-30,84.60761492944664
2025-07-31,85.66228529162936
2025-08-05,-72.77707560864235
2025-08-20,72.80610456642955
2025-08-26,68.74716805672756
2025-08-27,-54.77940575480693
2025-10-01,52.10945355530805
2026-01-07,58.68698802556389
2026-01-09,-46.75616552715758
2026-02-03,-71.853154911444
2026-02-11,97.95520185219198
