date,net_pips
2004-05-03,-85.03995394401136
2004-05-04,-84.38710009086867
2004-05-07,-87.54983924913893
2004-07-12,-69.72147214250504
2005-07-14,-55.60486303703078
2006-02-06,59.54764607099514
2006-02-07,60.552814208781115
2009-03-01,-148.20591744999183
2009-03-02,-144.26620906070673
2009-06-01,-111.39713723863827
2009-08-07,-107.09090612378225
2009-10-19,-76.36187518879558
2010-03-18,110.65461978118145
2010-09-28,-70.39220114395255
2011-01-18,-64.76898815104113
2011-06-05,106.86066544905566
2011-06-07,-79.98273728763883
2012-01-27,73.72519364820585
2012-01-30,65.29415249457367
2012-06-17,-71.22407138615847
2012-06-22,102.48657618167891
2012-07-02,91.16452289934409
2012-08-27,-49.101347719207865
2012-08-28,-47.635537167836105
2013-07-17,-81.28401794704223
2013-07-18,-80.89944523653776
2014-02-26,75.21075897733647
2014-05-05,51.15056353445959
2014-08-05,34.34586882969677
2014-09-04,43.27281650461339
2015-04-08,94.12211357898082
2015-07-30,-68.3708618060715
2015-08-04,80.07990506249223
2015-08-05,-63.38421790177995
2015-08-17,69.65301693006347
2015-08-18,69.87787286363039
2015-08-19,-55.77205204545044
2015-12-16,-56.36124747322617
2015-12-17,71.58793444982246
2016-02-03,81.1002768896335
2016-04-05,69.8641025977812
2016-07-26,120.85276491625388
2016-07-27,-96.13768922589634
2016-08-02,122.83734381775753
2016-08-03,125.71781925934624
2016-08-18,-66.41735241614361
2016-09-15,73.77063602657807
2016-09-16,74.68937631039319
2017-03-06,60.29732961345695
2018-03-30,86.3558335151074
2018-04-02,73.83544214019275
2018-04-03,-61.03388724299441
2018-04-06,-59.896005930341744
2018-04-09,-51.96278608927207
2018-04-10,-52.68758708289545
2018-04-12,-54.01985825004749
2018-04-18,-47.94849429500891
2018-09-13,-58.48944297513674
2018-12-11,-44.05847593262229
2019-02-14,51.10858926043045
2019-02-15,52.294047170399494
2019-02-21,-38.66572120783991
2019-02-22,-38.70031255013606
2019-06-12,45.78417768518557
2019-06-13,46.25795070767305
2019-06-28,-37.961009677395396
2019-07-02,47.90495053141706
2020-05-22,64.60872430792841
2024-01-22,75.7926180324622
2024-01-24,78.24840024227535
2024-10-11,-103.47461550301864
2024-12-26,-78.91911878126996
2025-03-04,117.3322553338229
