pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,10,5,150,-20,836,5160.8,2.8263,728870.0,3.9916
EURJPY,10,5,150,-10,836,5015.8,2.7469,690691.0,3.7825
EURJPY,10,5,150,0,836,5065.8,2.7743,694599.0,3.8039
EURJPY,10,5,150,10,836,4120.8,2.2567,561963.0,3.0776
EURJPY,10,5,150,20,836,4140.8,2.2677,553250.0,3.0298
EURJPY,10,5,200,-20,836,4985.8,2.7304,706120.0,3.867
EURJPY,10,5,200,-10,836,4890.8,2.6784,674441.0,3.6935
EURJPY,10,5,200,0,836,4935.8,2.7031,677699.0,3.7114
EURJPY,10,5,200,10,836,3990.8,2.1855,545063.0,2.985
EURJPY,10,5,200,20,836,3950.8,2.1636,528550.0,2.8946
EURJPY,10,5,250,-20,836,5702.5,3.1229,799291.0,4.3773
EURJPY,10,5,250,-10,836,5402.5,2.9587,740962.0,4.0578
EURJPY,10,5,250,0,836,5245.6,2.8727,717973.0,3.9319
EURJPY,10,5,250,10,836,4300.6,2.3552,585337.0,3.2056
EURJPY,10,5,250,20,836,4215.8,2.3088,563000.0,3.0832
EURJPY,10,5,300,-20,836,5909.5,3.2363,826201.0,4.5246
EURJPY,10,5,300,-10,836,5609.5,3.072,767872.0,4.2052
EURJPY,10,5,300,0,836,5502.6,3.0135,751383.0,4.1149
EURJPY,10,5,300,10,836,4557.6,2.4959,618747.0,3.3885
EURJPY,10,5,300,20,836,4266.1,2.3363,569539.0,3.1191
EURJPY,10,5,350,-20,836,5597.5,3.0654,785641.0,4.3025
EURJPY,10,5,350,-10,836,5297.5,2.9012,727312.0,3.9831
EURJPY,10,5,350,0,836,5202.6,2.8492,712383.0,3.9013
EURJPY,10,5,350,10,836,4257.6,2.3317,579747.0,3.175
EURJPY,10,5,350,20,836,4016.1,2.1994,537039.0,2.9411
EURJPY,10,5,400,-20,836,5474.0,2.9978,769586.0,4.2146
EURJPY,10,5,400,-10,836,5174.0,2.8335,711257.0,3.8952
EURJPY,10,5,400,0,836,5079.1,2.7815,696328.0,3.8134
EURJPY,10,5,400,10,836,4134.1,2.264,563692.0,3.087
EURJPY,10,5,400,20,836,3942.6,2.1591,527484.0,2.8887
EURJPY,10,10,150,-20,836,5775.8,3.1631,808820.0,4.4295
EURJPY,10,10,150,-10,836,5695.8,3.1193,779091.0,4.2667
EURJPY,10,10,150,0,836,5575.8,3.0536,760899.0,4.167
EURJPY,10,10,150,10,836,4635.8,2.5388,628913.0,3.4442
EURJPY,10,10,150,20,836,4335.8,2.3745,578600.0,3.1687
EURJPY,10,10,200,-20,836,5547.6,3.0381,779154.0,4.267
EURJPY,10,10,200,-10,836,5418.7,2.9675,743068.0,4.0694
EURJPY,10,10,200,0,836,5288.7,2.8963,723576.0,3.9626
EURJPY,10,10,200,10,836,4238.7,2.3213,577290.0,3.1615
EURJPY,10,10,200,20,836,3868.7,2.1187,517877.0,2.8361
EURJPY,10,10,250,-20,836,7094.3,3.8852,980225.0,5.3682
EURJPY,10,10,250,-10,836,6755.4,3.6996,916839.0,5.021
EURJPY,10,10,250,0,836,6418.5,3.5151,870450.0,4.767
EURJPY,10,10,250,10,836,5158.5,2.825,696864.0,3.8163
EURJPY,10,10,250,20,836,4738.7,2.5951,630977.0,3.4555
EURJPY,10,10,300,-20,836,7298.9,3.9972,1006823.0,5.5138
EURJPY,10,10,300,-10,836,6960.0,3.8116,943437.0,5.1667
EURJPY,10,10,300,0,836,6673.1,3.6545,903548.0,4.9482
EURJPY,10,10,300,10,836,5413.1,2.9645,729962.0,3.9976
EURJPY,10,10,300,20,836,4781.6,2.6186,636554.0,3.4861
EURJPY,10,10,350,-20,836,7034.6,3.8525,972464.0,5.3257
EURJPY,10,10,350,-10,836,6695.7,3.6669,909078.0,4.9785
EURJPY,10,10,350,0,836,6420.8,3.5163,870749.0,4.7686
EURJPY,10,10,350,10,836,5160.8,2.8263,697163.0,3.818
EURJPY,10,10,350,20,836,4579.3,2.5078,610255.0,3.342
EURJPY,10,10,400,-20,836,6811.1,3.7301,943409.0,5.1665
EURJPY,10,10,400,-10,836,6472.2,3.5445,880023.0,4.8194
EURJPY,10,10,400,0,836,6197.3,3.3939,841694.0,4.6095
EURJPY,10,10,400,10,836,4937.3,2.7039,668108.0,3.6589
EURJPY,10,10,400,20,836,4405.8,2.4128,587700.0,3.2185
EURJPY,10,15,150,-20,836,4986.5,2.7308,706211.0,3.8675
EURJPY,10,15,150,-10,836,4816.5,2.6377,664782.0,3.6406
EURJPY,10,15,150,0,836,4691.5,2.5693,645940.0,3.5375
EURJPY,10,15,150,10,836,4106.5,2.2489,560104.0,3.0674
EURJPY,10,15,150,20,836,3816.5,2.0901,511091.0,2.799
EURJPY,10,15,200,-20,836,4603.3,2.521,656395.0,3.5947
EURJPY,10,15,200,-10,836,4384.4,2.4011,608609.0,3.333
EURJPY,10,15,200,0,836,4294.4,2.3518,594317.0,3.2547
EURJPY,10,15,200,10,836,3794.4,2.078,519531.0,2.8452
EURJPY,10,15,200,20,836,3524.4,1.9301,473118.0,2.591
EURJPY,10,15,250,-20,836,6643.9,3.6385,921673.0,5.0475
EURJPY,10,15,250,-10,836,6210.0,3.4009,845937.0,4.6327
EURJPY,10,15,250,0,836,5693.1,3.1178,776148.0,4.2505
EURJPY,10,15,250,10,836,4648.1,2.5455,630512.0,3.453
EURJPY,10,15,250,20,836,4423.3,2.4224,589975.0,3.231
EURJPY,10,15,300,-20,836,7413.1,4.0597,1021669.0,5.5951
EURJPY,10,15,300,-10,836,6979.2,3.8221,945933.0,5.1804
EURJPY,10,15,300,0,836,6512.3,3.5664,882644.0,4.8338
EURJPY,10,15,300,10,836,5252.3,2.8764,709058.0,3.8831
EURJPY,10,15,300,20,836,4671.5,2.5583,622241.0,3.4077
EURJPY,10,15,350,-20,836,6891.5,3.7741,953861.0,5.2238
EURJPY,10,15,350,-10,836,6457.6,3.5365,878125.0,4.809
EURJPY,10,15,350,0,836,6002.7,3.2873,816396.0,4.471
EURJPY,10,15,350,10,836,4792.7,2.6247,649310.0,3.5559
EURJPY,10,15,350,20,836,4311.9,2.3614,575493.0,3.1517
EURJPY,10,15,400,-20,836,6929.9,3.7951,958853.0,5.2511
EURJPY,10,15,400,-10,836,6496.0,3.5575,883117.0,4.8363
EURJPY,10,15,400,0,836,6041.1,3.3084,821388.0,4.4983
EURJPY,10,15,400,10,836,4881.1,2.6731,660802.0,3.6188
EURJPY,10,15,400,20,836,4500.3,2.4646,599985.0,3.2858
EURJPY,10,20,150,-20,836,3694.6,2.0233,538264.0,2.9478
EURJPY,10,20,150,-10,836,3434.6,1.8809,485135.0,2.6568
EURJPY,10,20,150,0,836,3144.6,1.7221,444843.0,2.4362
EURJPY,10,20,150,10,836,2954.6,1.6181,410357.0,2.2473
EURJPY,10,20,150,20,836,2694.6,1.4757,365244.0,2.0002
EURJPY,10,20,200,-20,836,3657.8,2.0032,533480.0,2.9216
EURJPY,10,20,200,-10,836,3348.9,1.834,473994.0,2.5958
EURJPY,10,20,200,0,836,3088.9,1.6916,437602.0,2.3965
EURJPY,10,20,200,10,836,2958.9,1.6204,410916.0,2.2504
EURJPY,10,20,200,20,836,2808.9,1.5383,380103.0,2.0816
EURJPY,10,20,250,-20,836,5494.9,3.0093,772303.0,4.2295
EURJPY,10,20,250,-10,836,4966.0,2.7196,684217.0,3.7471
EURJPY,10,20,250,0,836,4269.1,2.338,591028.0,3.2367
EURJPY,10,20,250,10,836,3459.1,1.8944,475942.0,2.6065
EURJPY,10,20,250,20,836,3449.3,1.889,463355.0,2.5375
EURJPY,10,20,300,-20,836,6266.0,3.4315,872546.0,4.7785
EURJPY,10,20,300,-10,836,5737.1,3.1419,784460.0,4.2961
EURJPY,10,20,300,0,836,5090.2,2.7876,697771.0,3.8213
EURJPY,10,20,300,10,836,4029.8,2.2069,550133.0,3.0128
EURJPY,10,20,300,20,836,3644.2,1.9957,488692.0,2.6763
EURJPY,10,20,350,-20,836,5969.2,3.269,833962.0,4.5672
EURJPY,10,20,350,-10,836,5440.3,2.9794,745876.0,4.0848
EURJPY,10,20,350,0,836,4805.4,2.6317,660747.0,3.6185
EURJPY,10,20,350,10,836,3845.0,2.1057,526109.0,2.8812
EURJPY,10,20,350,20,836,3559.4,1.9493,477668.0,2.6159
EURJPY,10,20,400,-20,836,5795.6,3.1739,811394.0,4.4436
EURJPY,10,20,400,-10,836,5266.7,2.8843,723308.0,3.9612
EURJPY,10,20,400,0,836,4631.8,2.5366,638179.0,3.495
EURJPY,10,20,400,10,836,3771.4,2.0654,516541.0,2.8288
EURJPY,10,20,400,20,836,3585.8,1.9637,481100.0,2.6347
EURJPY,10,25,150,-20,836,2924.6,1.6016,438164.0,2.3996
EURJPY,10,25,150,-10,836,2574.6,1.41,373335.0,2.0446
EURJPY,10,25,150,0,836,2119.6,1.1608,311593.0,1.7064
EURJPY,10,25,150,10,836,2014.6,1.1033,288157.0,1.5781
EURJPY,10,25,150,20,836,2329.6,1.2758,317794.0,1.7404
EURJPY,10,25,200,-20,836,2922.8,1.6007,437930.0,2.3983
EURJPY,10,25,200,-10,836,2523.9,1.3822,366744.0,2.0085
EURJPY,10,25,200,0,836,2093.9,1.1467,308252.0,1.6881
EURJPY,10,25,200,10,836,2138.9,1.1714,304316.0,1.6666
EURJPY,10,25,200,20,836,2578.9,1.4123,350203.0,1.9179
EURJPY,10,25,250,-20,836,5545.8,3.0371,778920.0,4.2657
EURJPY,10,25,250,-10,836,4921.9,2.6955,678484.0,3.7157
EURJPY,10,25,250,0,836,4045.0,2.2152,561895.0,3.0772
EURJPY,10,25,250,10,836,3390.8,1.857,467063.0,2.5578
EURJPY,10,25,250,20,836,3819.3,2.0916,511455.0,2.801
EURJPY,10,25,300,-20,836,6276.6,3.4373,873924.0,4.786
EURJPY,10,25,300,-10,836,5652.7,3.0957,773488.0,4.236
EURJPY,10,25,300,0,836,4825.8,2.6428,663399.0,3.6331
EURJPY,10,25,300,10,836,4001.5,2.1914,546454.0,2.9926
EURJPY,10,25,300,20,836,4149.2,2.2723,554342.0,3.0358
EURJPY,10,25,350,-20,836,5826.9,3.1911,815463.0,4.4658
EURJPY,10,25,350,-10,836,5203.0,2.8494,715027.0,3.9158
EURJPY,10,25,350,0,836,4388.1,2.4031,606498.0,3.3215
EURJPY,10,25,350,10,836,3713.8,2.0338,509053.0,2.7878
EURJPY,10,25,350,20,836,3919.4,2.1464,524468.0,2.8722
EURJPY,10,25,400,-20,836,5408.3,2.9618,761045.0,4.1678
EURJPY,10,25,400,-10,836,4784.4,2.6202,660609.0,3.6178
EURJPY,10,25,400,0,836,3969.5,2.1739,552080.0,3.0234
EURJPY,10,25,400,10,836,3445.2,1.8867,474135.0,2.5966
EURJPY,10,25,400,20,836,3800.8,2.0815,509050.0,2.7878
EURJPY,10,30,150,-20,836,1296.5,0.71,226511.0,1.2405
EURJPY,10,30,150,-10,836,856.5,0.4691,149982.0,0.8214
EURJPY,10,30,150,0,836,596.5,0.3267,113590.0,0.6221
EURJPY,10,30,150,10,836,596.5,0.3267,103804.0,0.5685
EURJPY,10,30,150,20,836,1176.5,0.6443,167891.0,0.9194
EURJPY,10,30,200,-20,836,1706.0,0.9343,279746.0,1.532
EURJPY,10,30,200,-10,836,1217.1,0.6665,196860.0,1.0781
