entry_below_yh_pips,buy_tp_above_yh_pips,sell_buy_ratio,buy_size,sell_size,trade_days,filled_days,filled_day_rate,buy_wins,buy_losses,sell_wins,sell_losses,sell_time_exits,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted
50,30,1.6,100.0,160.0,7051,3269,0.463622,1127,2132,1565,1694,3246,1135660.0,-348112.0,787548.0,111.6931
50,40,1.4,100.0,140.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-304598.0,786892.0,111.6001
50,75,1.27,100.0,127.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-276313.9,783956.1,111.1837
50,50,1.27,100.0,127.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-276313.9,782596.1,110.9908
50,75,1.3,100.0,130.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-282841.0,777429.0,110.258
50,10,1.0,100.0,100.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-217570.0,776850.0,110.1759
50,50,1.3,100.0,130.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-282841.0,776069.0,110.0651
50,100,1.5,100.0,150.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-326355.0,775335.0,109.961
50,20,1.6,100.0,160.0,7051,3269,0.463622,1153,2106,1565,1694,3246,1118840.0,-348112.0,770728.0,109.3076
50,40,1.5,100.0,150.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-326355.0,765135.0,108.5144
50,75,1.4,100.0,140.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-304598.0,755672.0,107.1723
50,10,1.1,100.0,110.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-239327.0,755093.0,107.0902
50,50,1.4,100.0,140.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-304598.0,754312.0,106.9794
50,100,1.6,100.0,160.0,7051,3269,0.463622,1076,2183,1565,1694,3246,1101690.0,-348112.0,753578.0,106.8753
50,40,1.6,100.0,160.0,7051,3269,0.463622,1109,2150,1565,1694,3246,1091490.0,-348112.0,743378.0,105.4287
50,75,1.5,100.0,150.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-326355.0,733915.0,104.0867
50,10,1.2,100.0,120.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-261084.0,733336.0,104.0045
50,50,1.5,100.0,150.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-326355.0,732555.0,103.8938
50,10,1.27,100.0,127.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-276313.9,718106.1,101.8446
50,75,1.6,100.0,160.0,7051,3269,0.463622,1081,2178,1565,1694,3246,1060270.0,-348112.0,712158.0,101.001
50,10,1.3,100.0,130.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-282841.0,711579.0,100.9189
50,50,1.6,100.0,160.0,7051,3269,0.463622,1100,2159,1565,1694,3246,1058910.0,-348112.0,710798.0,100.8081
50,10,1.4,100.0,140.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-304598.0,689822.0,97.8332
50,10,1.5,100.0,150.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-326355.0,668065.0,94.7476
50,10,1.6,100.0,160.0,7051,3269,0.463622,1185,2074,1565,1694,3246,994420.0,-348112.0,646308.0,91.6619
40,150,1.0,100.0,100.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-277080.0,571890.0,81.1076
40,150,1.1,100.0,110.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-304788.0,544182.0,77.178
50,0,1.0,100.0,100.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-217570.0,522740.0,74.137
40,125,1.0,100.0,100.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-277080.0,522200.0,74.0604
40,150,1.2,100.0,120.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-332496.0,516474.0,73.2483
50,0,1.1,100.0,110.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-239327.0,500983.0,71.0513
40,150,1.27,100.0,127.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-351891.6,497078.4,70.4976
40,125,1.1,100.0,110.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-304788.0,494492.0,70.1308
40,150,1.3,100.0,130.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-360204.0,488766.0,69.3187
40,100,1.0,100.0,100.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-277080.0,487200.0,69.0966
50,0,1.2,100.0,120.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-261084.0,479226.0,67.9657
40,125,1.2,100.0,120.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-332496.0,466784.0,66.2011
50,0,1.27,100.0,127.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-276313.9,463996.1,65.8057
40,150,1.4,100.0,140.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-387912.0,461058.0,65.389
40,100,1.1,100.0,110.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-304788.0,459492.0,65.1669
50,0,1.3,100.0,130.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-282841.0,457469.0,64.88
40,125,1.27,100.0,127.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-351891.6,447388.4,63.4503
40,125,1.3,100.0,130.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-360204.0,439076.0,62.2715
40,75,1.0,100.0,100.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-277080.0,438010.0,62.1203
40,40,1.0,100.0,100.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-277080.0,437580.0,62.0593
50,0,1.4,100.0,140.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-304598.0,435712.0,61.7944
40,150,1.5,100.0,150.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-415620.0,433350.0,61.4594
40,30,1.0,100.0,100.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-277080.0,433120.0,61.4267
40,100,1.2,100.0,120.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-332496.0,431784.0,61.2373
40,50,1.0,100.0,100.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-277080.0,421620.0,59.7958
50,0,1.5,100.0,150.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-326355.0,413955.0,58.7087
40,100,1.27,100.0,127.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-351891.6,412388.4,58.4865
40,125,1.4,100.0,140.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-387912.0,411368.0,58.3418
40,75,1.1,100.0,110.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-304788.0,410302.0,58.1906
40,40,1.1,100.0,110.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-304788.0,409872.0,58.1296
40,150,1.6,100.0,160.0,7051,3507,0.497376,1222,2269,1669,1822,3477,848970.0,-443328.0,405642.0,57.5297
40,30,1.1,100.0,110.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-304788.0,405412.0,57.4971
40,100,1.3,100.0,130.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-360204.0,404076.0,57.3076
40,50,1.1,100.0,110.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-304788.0,393912.0,55.8661
50,0,1.6,100.0,160.0,7051,3269,0.463622,1224,2035,1565,1694,3246,740310.0,-348112.0,392198.0,55.623
40,20,1.0,100.0,100.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-277080.0,385430.0,54.6632
