side,bucket,indicator_bucket,trades,positive_trades,avg_positive_pips,median_positive_pips,positive_rate,avg_all_pips,pivot_first_rate,indicator
BUY,00-05%,BBZ_-1.5_1.5,159,101.0,2.2693069306931744,1.899999999996794,0.6352201257861635,-1.470419287211662,0.9308176100628931,bbz_band
BUY,05-10%,BBZ_-1.5_1.5,157,127.0,5.967716535432939,5.266666666664378,0.8089171974522293,-3.2966242038217817,0.8152866242038217,bbz_band
BUY,10-15%,BBZ_-2.0_-1.5,37,28.0,15.009523809524039,13.516666666666111,0.7567567567567568,-1.0691441441437894,0.7567567567567568,bbz_band
BUY,10-15%,BBZ_-1.5_1.5,159,114.0,12.397953216374233,11.86666666666747,0.7169811320754716,-1.7492348008386087,0.7169811320754716,bbz_band
BUY,15-20%,BBZ_-1.5_1.5,196,124.0,19.95456989247294,16.950000000000443,0.6326530612244898,-4.534557823129383,0.6326530612244898,bbz_band
BUY,15-20%,BBZ_-2.0_-1.5,33,24.0,17.31249999999945,16.166666666665975,0.7272727272727273,-5.209848484848756,0.7272727272727273,bbz_band
BUY,20-25%,BBZ_-1.5_1.5,184,93.0,30.54086021505373,28.600000000000648,0.5054347826086957,-5.879139492753675,0.5054347826086957,bbz_band
BUY,20-25%,BBZ_-2.0_-1.5,46,27.0,30.23456790123416,26.03333333333404,0.5869565217391305,-2.8212681159421846,0.5869565217391305,bbz_band
BUY,25-30%,BBZ_-2.0_-1.5,33,16.0,38.17916666666663,39.18333333333288,0.48484848484848486,-5.483838383838535,0.48484848484848486,bbz_band
BUY,25-30%,BBZ_-1.5_1.5,137,65.0,33.15794871794874,30.666666666666288,0.4744525547445255,-4.327518248175143,0.4744525547445255,bbz_band
BUY,30-35%,BBZ_-1.5_1.5,58,32.0,36.219791666666424,29.349999999999966,0.5517241379310345,5.284051724137738,0.5517241379310345,bbz_band
SELL,00-05%,BBZ_-1.5_1.5,188,123.0,2.3951219512194677,1.5000000000005684,0.6542553191489362,-1.4630141843971889,0.9468085106382979,bbz_band
SELL,05-10%,BBZ_-1.5_1.5,200,164.0,7.036178861788669,6.550000000000523,0.82,-2.4119833333333247,0.82,bbz_band
SELL,10-15%,BBZ_1.5_2.0,37,32.0,13.078124999999853,9.966666666666924,0.8648648648648649,6.1358108108107965,0.8648648648648649,bbz_band
SELL,10-15%,BBZ_-1.5_1.5,175,141.0,12.326713947990331,10.000000000001364,0.8057142857142857,0.9334190476188999,0.8057142857142857,bbz_band
SELL,15-20%,BBZ_-1.5_1.5,182,133.0,18.483959899749408,14.799999999998704,0.7307692307692307,2.271822344322424,0.7307692307692307,bbz_band
SELL,15-20%,BBZ_1.5_2.0,51,44.0,15.821969696969479,14.299999999999159,0.8627450980392157,8.790359477123955,0.8627450980392157,bbz_band
SELL,20-25%,BBZ_2.0_2.5,34,25.0,35.2973333333332,33.166666666664014,0.7352941176470589,13.55838235294117,0.7352941176470589,bbz_band
SELL,20-25%,BBZ_1.5_2.0,60,35.0,28.79809523809552,27.66666666666617,0.5833333333333334,-1.3601388888885755,0.5833333333333334,bbz_band
SELL,20-25%,BBZ_-1.5_1.5,231,141.0,28.001654846335963,23.46666666666601,0.6103896103896104,0.9471572871574728,0.6103896103896104,bbz_band
SELL,25-30%,BBZ_-1.5_1.5,221,116.0,32.99396551724123,28.983333333331785,0.5248868778280543,0.28835595776759526,0.5248868778280543,bbz_band
SELL,25-30%,BBZ_1.5_2.0,65,29.0,31.890804597701127,27.66666666666617,0.4461538461538462,-4.163025641025745,0.4461538461538462,bbz_band
SELL,30-35%,BBZ_-1.5_1.5,105,54.0,35.613580246913635,29.683333333335128,0.5142857142857142,5.4199841269841675,0.5142857142857142,bbz_band
SELL,30-35%,BBZ_1.5_2.0,34,15.0,32.217777777777634,27.56666666666854,0.4411764705882353,-7.333039215686064,0.4411764705882353,bbz_band
