side,bucket,indicator_bucket,grp_trades,avg_pips,pivot_first_rate,trades,base_avg_pips,base_pivot_first,indicator,lift_pips,lift_pivot_first
SELL,20-25%,WR_-20_-10,37,16.550405405405336,0.7837837837837838,349,1.2568815663803234,0.6131805157593123,wr_band,15.293523839025012,0.17060326802447145
SELL,20-25%,BBZ_2.0_2.5,34,13.55838235294117,0.7352941176470589,349,1.2568815663803234,0.6131805157593123,bbz_band,12.301500786560846,0.12211360188774656
SELL,10-15%,RSI_95_100,34,9.964656862745498,0.9411764705882353,246,2.52392276422757,0.8292682926829268,rsi_band,7.440734098517928,0.11190817790530849
SELL,10-15%,RSI_80_90,40,9.528750000000073,0.95,246,2.52392276422757,0.8292682926829268,rsi_band,7.004827235772503,0.12073170731707317
SELL,10-15%,ATR_Q5,65,9.214641025640784,0.8615384615384616,246,2.52392276422757,0.8292682926829268,atr_bucket,6.690718261413214,0.0322701688555348
SELL,15-20%,BBZ_1.5_2.0,51,8.790359477123955,0.8627450980392157,269,2.2457806691450077,0.7397769516728625,bbz_band,6.544578807978947,0.12296814636635323
SELL,20-25%,RSI_95_100,72,6.734120370370295,0.7083333333333334,349,1.2568815663803234,0.6131805157593123,rsi_band,5.477238803989971,0.09515281757402105
SELL,30-35%,RSI_80_90,44,6.0176515151516465,0.5454545454545454,169,0.8569625246548408,0.47928994082840237,rsi_band,5.160688990496806,0.06616460462614304
SELL,30-35%,BBZ_-1.5_1.5,105,5.4199841269841675,0.5142857142857142,169,0.8569625246548408,0.47928994082840237,bbz_band,4.563021602329327,0.03499577345731186
SELL,20-25%,ATR_Q5,109,5.2302752293579395,0.6330275229357798,349,1.2568815663803234,0.6131805157593123,atr_bucket,3.973393662977616,0.01984700717646748
SELL,15-20%,RSI_95_100,49,6.14295918367327,0.8163265306122449,269,2.2457806691450077,0.7397769516728625,rsi_band,3.897178514528262,0.07654957893938241
SELL,10-15%,BBZ_1.5_2.0,37,6.1358108108107965,0.8648648648648649,246,2.52392276422757,0.8292682926829268,bbz_band,3.6118880465832266,0.035596572181938124
SELL,15-20%,ATR_Q5,60,5.701694444444802,0.8,269,2.2457806691450077,0.7397769516728625,atr_bucket,3.455913775299794,0.06022304832713754
SELL,30-35%,WR_-80_-20,76,3.4730701754385094,0.4868421052631579,169,0.8569625246548408,0.47928994082840237,wr_band,2.6161076507836687,0.007552164434755537
SELL,30-35%,ATR_Q5,50,3.414333333333076,0.48,169,0.8569625246548408,0.47928994082840237,atr_bucket,2.557370808678235,0.0007100591715976101
SELL,10-15%,WR_-20_-10,59,3.688559322033849,0.847457627118644,246,2.52392276422757,0.8292682926829268,wr_band,1.1646365578062792,0.01818933443571724
SELL,15-20%,RSI_20_80,121,3.3086363636364764,0.7603305785123967,269,2.2457806691450077,0.7397769516728625,rsi_band,1.0628556944914687,0.02055362683953421
SELL,15-20%,ATR_Q4,75,3.2725777777777503,0.7333333333333333,269,2.2457806691450077,0.7397769516728625,atr_bucket,1.0267971086327425,-0.006443618339529222
SELL,15-20%,WR_-80_-20,126,3.1288888888891235,0.7301587301587301,269,2.2457806691450077,0.7397769516728625,wr_band,0.8831082197441158,-0.009618221514132386
SELL,20-25%,RSI_20_80,142,1.7323708920190455,0.6267605633802817,349,1.2568815663803234,0.6131805157593123,rsi_band,0.47548932563872204,0.013580047620969427
SELL,20-25%,WR_-10_-5,64,1.5902083333336328,0.59375,349,1.2568815663803234,0.6131805157593123,wr_band,0.3333267669533093,-0.019430515759312317
SELL,30-35%,RSI_20_80,61,0.9116120218580626,0.47540983606557374,169,0.8569625246548408,0.47928994082840237,rsi_band,0.054649497203221764,-0.003880104762828629
SELL,20-25%,ATR_Q2,65,1.291410256410262,0.6307692307692307,349,1.2568815663803234,0.6131805157593123,atr_bucket,0.034528690029938636,0.017588715009918432
SELL,15-20%,BBZ_-1.5_1.5,182,2.271822344322424,0.7307692307692307,269,2.2457806691450077,0.7397769516728625,bbz_band,0.0260416751774164,-0.009007720903631777
SELL,15-20%,WR_-20_-10,37,2.0145945945941937,0.7567567567567568,269,2.2457806691450077,0.7397769516728625,wr_band,-0.23118607455081408,0.016979805083894295
SELL,20-25%,BBZ_-1.5_1.5,231,0.9471572871574728,0.6103896103896104,349,1.2568815663803234,0.6131805157593123,bbz_band,-0.3097242792228506,-0.002790905369701946
SELL,20-25%,ATR_Q3,65,0.3020256410258379,0.6,349,1.2568815663803234,0.6131805157593123,atr_bucket,-0.9548559253544855,-0.013180515759312339
SELL,20-25%,WR_-80_-20,176,0.21908143939407754,0.6079545454545454,349,1.2568815663803234,0.6131805157593123,wr_band,-1.0378001269862458,-0.005225970304766903
SELL,15-20%,RSI_90_95,31,1.1651612903223023,0.7096774193548387,269,2.2457806691450077,0.7397769516728625,rsi_band,-1.0806193788227054,-0.03009953231802376
SELL,15-20%,ATR_Q2,43,1.1260465116277276,0.7441860465116279,269,2.2457806691450077,0.7397769516728625,atr_bucket,-1.1197341575172801,0.004409094838765393
SELL,10-15%,ATR_Q3,35,1.3620952380952076,0.8571428571428571,246,2.52392276422757,0.8292682926829268,atr_bucket,-1.1618275261323623,0.027874564459930307
SELL,10-15%,WR_-80_-20,122,1.0624180327868122,0.8032786885245902,246,2.52392276422757,0.8292682926829268,wr_band,-1.4615047314407577,-0.02598960415833662
SELL,10-15%,BBZ_-1.5_1.5,175,0.9334190476188999,0.8057142857142857,246,2.52392276422757,0.8292682926829268,bbz_band,-1.59050371660867,-0.023554006968641072
SELL,15-20%,ATR_Q1,33,0.02338383838392004,0.696969696969697,269,2.2457806691450077,0.7397769516728625,atr_bucket,-2.2223968307610877,-0.04280725470316549
SELL,10-15%,ATR_Q2,64,0.21143229166671418,0.828125,246,2.52392276422757,0.8292682926829268,atr_bucket,-2.3124904725608557,-0.0011432926829267887
SELL,20-25%,ATR_Q1,36,-1.0793518518513676,0.6388888888888888,349,1.2568815663803234,0.6131805157593123,atr_bucket,-2.336233418231691,0.025708373129576523
SELL,20-25%,BBZ_1.5_2.0,60,-1.3601388888885755,0.5833333333333334,349,1.2568815663803234,0.6131805157593123,bbz_band,-2.617020455268899,-0.029847182425978946
SELL,15-20%,ATR_Q3,58,-0.5624425287357586,0.7068965517241379,269,2.2457806691450077,0.7397769516728625,atr_bucket,-2.8082231978807664,-0.032880399948724603
SELL,20-25%,RSI_80_90,71,-1.5596713615020923,0.5774647887323944,349,1.2568815663803234,0.6131805157593123,rsi_band,-2.816552927882416,-0.03571572702691794
SELL,15-20%,WR_-10_-5,56,-0.5838095238096902,0.7321428571428571,269,2.2457806691450077,0.7397769516728625,wr_band,-2.829590192954698,-0.007634094530005409
SELL,10-15%,RSI_20_80,126,-0.7750396825398501,0.7777777777777778,246,2.52392276422757,0.8292682926829268,rsi_band,-3.29896244676742,-0.051490514905149
SELL,20-25%,RSI_90_95,51,-2.169052287581497,0.5294117647058824,349,1.2568815663803234,0.6131805157593123,rsi_band,-3.4259338539618205,-0.08376875105342996
SELL,20-25%,ATR_Q4,74,-2.6508783783781054,0.5675675675675675,349,1.2568815663803234,0.6131805157593123,atr_bucket,-3.907759944758429,-0.04561294819174477
SELL,15-20%,RSI_80_90,49,-1.8781292517005974,0.673469387755102,269,2.2457806691450077,0.7397769516728625,rsi_band,-4.123909920845605,-0.06630756391776049
SELL,10-15%,ATR_Q4,59,-1.9606214689265529,0.7796610169491526,246,2.52392276422757,0.8292682926829268,atr_bucket,-4.484544233154123,-0.049607275733774214
SELL,30-35%,ATR_Q4,46,-4.10768115942024,0.3695652173913043,169,0.8569625246548408,0.47928994082840237,atr_bucket,-4.964643684075081,-0.10972472343709805
SELL,30-35%,ATR_Q3,34,-4.483137254901938,0.4411764705882353,169,0.8569625246548408,0.47928994082840237,atr_bucket,-5.340099779556779,-0.03811347024016709
SELL,20-25%,WR_-5_0,50,-5.198366666666403,0.54,349,1.2568815663803234,0.6131805157593123,wr_band,-6.455248233046726,-0.07318051575931228
SELL,30-35%,RSI_95_100,36,-5.815601851852197,0.3888888888888889,169,0.8569625246548408,0.47928994082840237,rsi_band,-6.6725643765070375,-0.09040105193951348
SELL,30-35%,WR_-5_0,66,-6.640454545454507,0.4090909090909091,169,0.8569625246548408,0.47928994082840237,wr_band,-7.497417070109348,-0.07019903173749326
SELL,30-35%,BBZ_1.5_2.0,34,-7.333039215686064,0.4411764705882353,169,0.8569625246548408,0.47928994082840237,bbz_band,-8.190001740340906,-0.03811347024016709
