entry_leg1_pct,entry_leg2_pct,entry_leg3_pct,tp_pct_of_unit,sl_pct_of_unit,days_traded,filled_legs,closed_legs,wins,losses,time_exits,win_rate_excl_time_exit,total_pips,cal_ppd
0.15,0.3,0.6,0.8,0.5,6034,11589,11589,2581,5084,3924,0.336725,-4932.78,-0.8167
0.15,0.3,0.6,0.8,0.4,6034,11589,11589,2362,6008,3219,0.282198,-5014.1283,-0.8302
0.15,0.3,0.75,1.0,0.65,6034,11028,11028,2011,3989,5028,0.335167,-5064.7,-0.8385
0.15,0.3,0.75,0.8,0.5,6034,11028,11028,2467,4880,3681,0.335783,-5079.57,-0.841
0.15,0.45,0.6,1.0,0.3,6034,10747,10747,1342,6604,2801,0.16889,-5163.5517,-0.8549
0.15,0.45,0.75,1.0,0.3,6034,10186,10186,1289,6281,2616,0.170277,-5189.12,-0.8591
0.3,0.6,0.75,1.0,0.2,6034,9275,9275,921,6675,1679,0.121248,-5208.125,-0.8623
0.15,0.45,0.75,1.0,0.2,6034,10186,10186,1022,7371,1793,0.121768,-5336.9567,-0.8836
0.3,0.6,0.9,0.8,0.2,6034,8813,8813,1218,6240,1355,0.163315,-5353.5167,-0.8863
0.15,0.6,0.9,0.65,0.2,6034,9076,9076,1707,6257,1112,0.21434,-5421.1017,-0.8975
0.15,0.3,0.45,0.8,0.4,6034,12237,12237,2487,6352,3398,0.281367,-5455.9617,-0.9033
0.15,0.45,0.9,0.8,0.3,6034,9724,9724,1729,5883,2112,0.227141,-5483.7933,-0.9079
0.15,0.75,0.9,1.0,0.5,6034,8515,8515,1415,3908,3192,0.265828,-5540.6583,-0.9173
0.15,0.6,0.9,1.0,0.5,6034,9076,9076,1477,4125,3474,0.263656,-5583.6783,-0.9245
0.15,0.6,0.75,0.8,0.3,6034,9538,9538,1679,5723,2136,0.226831,-5613.465,-0.9294
0.15,0.3,0.6,0.65,0.2,6034,11589,11589,2230,8052,1307,0.216884,-5622.1017,-0.9308
0.15,0.75,0.9,0.4,0.2,6034,8515,8515,2637,5288,590,0.332744,-5685.7167,-0.9413
0.15,0.3,0.6,1.0,0.65,6034,11589,11589,2082,4173,5334,0.332854,-5689.9817,-0.942
0.3,0.75,0.9,1.0,0.2,6034,8252,8252,826,5963,1463,0.121667,-5690.955,-0.9422
0.15,0.6,0.9,0.4,0.2,6034,9076,9076,2803,5643,630,0.331873,-5761.4883,-0.9539
0.15,0.75,0.9,0.5,0.2,6034,8515,8515,2156,5580,779,0.278697,-5799.6767,-0.9602
0.15,0.3,0.9,0.5,0.2,6034,10566,10566,2738,6987,841,0.281542,-5840.56,-0.967
0.15,0.75,0.9,0.3,0.2,6034,8515,8515,3264,4851,400,0.402218,-5888.225,-0.9749
0.15,0.3,0.9,0.4,0.2,6034,10566,10566,3333,6628,605,0.334605,-5958.225,-0.9865
0.15,0.3,0.6,0.65,0.3,6034,11589,11589,2722,6828,2039,0.285026,-5973.5017,-0.989
0.15,0.75,0.9,1.0,0.4,6034,8515,8515,1282,4542,2691,0.220124,-5976.4633,-0.9895
0.3,0.45,0.6,1.0,0.2,6034,10484,10484,1013,7588,1883,0.117777,-6017.4667,-0.9963
0.15,0.75,0.9,0.65,0.2,6034,8515,8515,1598,5886,1031,0.213522,-6342.3583,-1.0501
0.15,0.6,0.75,0.5,0.2,6034,9538,9538,2390,6264,884,0.276173,-6356.3867,-1.0524
0.15,0.3,0.6,0.5,0.2,6034,11589,11589,2972,7671,946,0.279245,-6397.27,-1.0592
0.15,0.6,0.9,0.3,0.2,6034,9076,9076,3458,5194,424,0.399676,-6472.1417,-1.0715
0.3,0.45,0.9,1.0,0.2,6034,9461,9461,918,6876,1667,0.117783,-6500.2967,-1.0762
0.15,0.3,0.75,0.65,0.2,6034,11028,11028,2121,7681,1226,0.216384,-6543.3583,-1.0833
0.3,0.75,0.9,0.2,0.2,6034,8252,8252,3960,4077,215,0.492721,-6547.245,-1.084
0.15,0.45,0.6,0.8,0.3,6034,10747,10747,1876,6470,2401,0.224778,-6564.92,-1.0869
0.15,0.75,0.9,0.65,0.3,6034,8515,8515,1980,4994,1541,0.283912,-6650.345,-1.1011
0.15,0.3,0.9,1.0,0.8,6034,10566,10566,2055,3069,5442,0.401054,-6676.2017,-1.1053
0.15,0.45,0.75,0.8,0.2,6034,10186,10186,1434,7263,1489,0.164884,-6682.0233,-1.1063
0.15,0.3,0.9,0.5,0.3,6034,10566,10566,3341,5883,1342,0.362207,-6812.52,-1.1279
0.15,0.3,0.9,0.65,0.5,6034,10566,10566,3094,4516,2956,0.40657,-6868.2833,-1.1371
0.15,0.45,0.75,0.8,0.3,6034,10186,10186,1783,6160,2243,0.224474,-6897.2417,-1.1419
0.15,0.3,0.9,0.65,0.4,6034,10566,10566,2837,5338,2391,0.347034,-6911.8733,-1.1443
0.15,0.6,0.75,1.0,0.5,6034,9538,9538,1544,4313,3681,0.263616,-6912.115,-1.1444
0.15,0.3,0.9,0.3,0.2,6034,10566,10566,4098,6080,388,0.402633,-6917.9217,-1.1454
0.15,0.45,0.9,0.5,0.2,6034,9724,9724,2438,6442,844,0.27455,-6940.285,-1.1491
0.15,0.6,0.9,1.0,0.4,6034,9076,9076,1334,4836,2906,0.216207,-6966.4783,-1.1534
0.15,0.3,0.45,0.8,0.5,6034,12237,12237,2719,5397,4121,0.335017,-7002.34,-1.1593
0.15,0.6,0.75,0.65,0.2,6034,9538,9538,1762,6598,1178,0.210766,-7074.8467,-1.1713
0.15,0.3,0.9,0.4,0.3,6034,10566,10566,4039,5535,992,0.421872,-7095.8267,-1.1748
0.15,0.45,0.9,0.4,0.2,6034,9724,9724,2990,6113,621,0.328463,-7122.825,-1.1793
0.15,0.75,0.9,0.4,0.3,6034,8515,8515,3193,4398,924,0.42063,-7131.98,-1.1808
0.3,0.6,0.9,1.0,0.3,6034,8813,8813,1081,5452,2280,0.165468,-7132.63,-1.1809
0.3,0.75,0.9,1.0,0.3,6034,8252,8252,1028,5129,2095,0.166964,-7158.1983,-1.1851
0.3,0.75,0.9,1.0,0.4,6034,8252,8252,1184,4404,2664,0.211883,-7225.8217,-1.1963
0.15,0.75,0.9,0.2,0.2,6034,8515,8515,4114,4191,210,0.495364,-7247.6617,-1.1999
0.3,0.45,0.9,0.8,0.2,6034,9461,9461,1295,6765,1401,0.16067,-7259.3367,-1.2019
0.3,0.75,0.9,0.8,0.2,6034,8252,8252,1131,5872,1249,0.161502,-7290.895,-1.2071
0.15,0.75,0.9,0.5,0.3,6034,8515,8515,2632,4690,1193,0.359465,-7314.2217,-1.211
0.15,0.3,0.75,0.65,0.4,6034,11028,11028,2940,5552,2536,0.346208,-7333.2517,-1.2141
0.15,0.75,0.9,0.3,0.3,6034,8515,8515,3910,3963,642,0.496634,-7396.6317,-1.2246
0.15,0.3,0.45,0.65,0.3,6034,12237,12237,2863,7242,2132,0.283325,-7403.9133,-1.2258
0.15,0.75,0.9,1.0,0.65,6034,8515,8515,1560,3139,3816,0.331986,-7416.4783,-1.2279
0.6,0.75,0.9,0.3,0.2,6034,6762,6762,2441,3874,447,0.38654,-7433.4867,-1.2307
0.15,0.3,0.75,0.2,0.2,6034,11028,11028,5406,5426,196,0.499077,-7460.6083,-1.2352
0.15,0.3,0.9,1.0,1.0,6034,10566,10566,2158,2320,6088,0.481912,-7465.335,-1.236
0.6,0.75,0.9,0.2,0.2,6034,6762,6762,3137,3371,254,0.482022,-7487.6717,-1.2397
0.3,0.6,0.9,0.65,0.2,6034,8813,8813,1602,6107,1104,0.207809,-7489.2583,-1.2399
0.15,0.45,0.6,0.5,0.2,6034,10747,10747,2672,7126,949,0.272709,-7496.995,-1.2412
0.15,0.3,0.75,0.5,0.2,6034,11028,11028,2826,7310,892,0.278808,-7536.37,-1.2477
0.15,0.3,0.75,0.5,0.3,6034,11028,11028,3457,6135,1436,0.360405,-7557.575,-1.2513
0.15,0.3,0.9,0.8,0.65,6034,10566,10566,2596,3716,4254,0.41128,-7559.365,-1.2516
0.3,0.6,0.75,1.0,0.3,6034,9275,9275,1135,5714,2426,0.165718,-7615.365,-1.2608
0.15,0.45,0.9,0.3,0.2,6034,9724,9724,3703,5613,408,0.397488,-7616.4133,-1.261
0.15,0.6,0.75,0.4,0.2,6034,9538,9538,2908,5960,670,0.327921,-7662.1833,-1.2686
0.15,0.6,0.75,1.0,0.4,6034,9538,9538,1401,5050,3087,0.217176,-7677.4767,-1.2711
0.15,0.6,0.9,0.8,0.5,6034,9076,9076,2015,4001,3060,0.33494,-7696.96,-1.2743
0.3,0.6,0.75,0.2,0.2,6034,9275,9275,4429,4606,240,0.490205,-7700.6183,-1.2749
0.15,0.45,0.9,0.65,0.2,6034,9724,9724,1805,6767,1152,0.210569,-7733.02,-1.2803
0.3,0.45,0.6,0.8,0.2,6034,10484,10484,1416,7483,1585,0.159119,-7745.7367,-1.2824
0.15,0.6,0.9,0.65,0.3,6034,9076,9076,2091,5318,1667,0.282224,-7764.7383,-1.2856
0.3,0.6,0.75,0.8,0.2,6034,9275,9275,1252,6590,1433,0.159653,-7777.295,-1.2876
0.3,0.45,0.75,1.0,0.2,6034,9923,9923,958,7208,1757,0.117316,-7793.6083,-1.2903
