date,side,outcome,pips
2003-08-05,SELL,TIME_LOSS,-8.137499999998909
2003-08-06,SELL,TIME_WIN,52.530833333331884
2003-08-07,BUY,SL,-32.62250000000029
2003-08-08,BUY,SL,-41.462500000001
2003-08-11,BUY,SL,-8.150000000001455
2003-08-12,SELL,TIME_WIN,96.75833333333424
2003-08-13,BUY,TP,106.26620000000082
2003-08-14,SELL,TIME_WIN,83.6333333333348
2003-08-15,BUY,TIME_WIN,19.458333333334622
2003-08-18,SELL,TP,16.04503999999929
2003-08-20,BUY,SL,-47.15000000000009
2003-08-21,BUY,SL,-51.05000000000166
2003-08-22,BUY,SL,-102.07500000000016
2003-08-25,BUY,TP,47.490199999999106
2003-08-26,SELL,TIME_WIN,4.22500000000008
2003-08-27,SELL,SL,-41.300000000002
2003-08-28,BUY,SL,-47.47499999999951
2003-08-29,BUY,SL,-43.57499999999936
2003-09-01,BUY,SL,-16.59999999999917
2003-09-02,BUY,SL,-36.75000000000017
2003-09-03,BUY,SL,-80.62500000000006
2003-09-04,SELL,SL,-40.00000000000006
2003-09-05,SELL,SL,-81.92500000000058
2003-09-08,SELL,TP,80.55169999999998
2003-09-09,BUY,TP,119.49080000000174
2003-09-10,SELL,TIME_WIN,7.908333333334895
2003-09-11,SELL,SL,-40.65000000000032
2003-09-12,BUY,TP,143.73590000000058
2003-09-15,SELL,SL,-18.225000000001955
2003-09-16,SELL,TP,65.12300000000175
2003-09-17,BUY,TIME_WIN,108.87499999999955
2003-09-18,SELL,TP,165.77690000000212
2003-09-19,BUY,SL,-58.850000000001955
2003-09-22,BUY,TIME_WIN,15.883333333333894
2003-09-23,SELL,TP,59.24539999999945
2003-09-24,SELL,TP,90.83749999999833
2003-09-25,SELL,SL,-43.900000000000205
2003-09-26,SELL,TIME_WIN,78.00833333333424
2003-09-29,BUY,SL,-14.975000000000648
2003-09-30,SELL,TIME_LOSS,-60.524999999999295
2003-10-01,SELL,TIME_LOSS,-14.483333333334713
2003-10-02,SELL,TIME_WIN,59.12500000000216
2003-10-03,BUY,SL,-42.27499999999884
2003-10-06,SELL,TP,37.20440000000076
2003-10-07,SELL,TIME_WIN,92.59166666666852
2003-10-08,BUY,TIME_WIN,46.99166666666679
2003-10-09,SELL,TP,65.85769999999991
2003-10-10,BUY,SL,-68.6000000000002
2003-10-13,SELL,TP,27.65329999999915
2003-10-14,BUY,TP,124.63369999999878
2003-10-15,BUY,TIME_WIN,14.308333333332769
2003-10-16,BUY,SL,-29.274999999999295
2003-10-17,BUY,TP,71.73530000000079
2003-10-20,BUY,TP,37.20440000000076
2003-10-21,BUY,TIME_LOSS,-9.35000000000008
2003-10-22,BUY,TP,62.91890000000018
2003-10-23,SELL,SL,-43.250000000001364
2003-10-24,SELL,TIME_WIN,98.26666666666506
2003-10-27,BUY,SL,-19.914999999998372
2003-10-28,BUY,SL,-40.32499999999948
2003-10-29,BUY,TIME_LOSS,-7.283333333331598
2003-10-30,BUY,SL,-20.174999999999898
2003-10-31,SELL,SL,-38.700000000000955
2003-11-05,BUY,SL,-42.92500000000052
2003-11-06,BUY,TIME_WIN,18.51666666666938
2003-11-07,BUY,TP,42.347300000000644
2003-11-10,SELL,SL,-12.634999999999707
2003-11-11,BUY,TIME_WIN,67.39166666666614
2003-11-12,SELL,SL,-34.149999999999125
2003-11-13,SELL,TIME_LOSS,-29.966666666666185
2003-11-14,SELL,SL,-34.149999999999125
2003-11-17,SELL,SL,-19.2974999999999
2003-11-18,BUY,TP,112.14379999999744
2003-11-19,SELL,SL,-52.0249999999985
2003-11-20,SELL,TIME_WIN,8.616666666667584
2003-11-21,SELL,TP,66.59240000000091
2003-11-24,SELL,TP,56.89436000000023
2003-11-25,BUY,TP,104.79680000000167
2003-11-26,BUY,TP,82.75580000000298
2003-11-27,SELL,TIME_LOSS,-12.216666666666697
2003-11-28,SELL,SL,-20.499999999999318
2003-12-01,SELL,TP,64.4617700000017
2003-12-02,BUY,TIME_WIN,71.17500000000143
2003-12-03,BUY,TIME_WIN,23.29166666666731
2003-12-04,BUY,SL,-31.8749999999975
2003-12-05,SELL,TIME_WIN,13.100000000001955
2003-12-08,BUY,TP,26.330839999999057
2003-12-09,SELL,SL,-25.049999999999727
2003-12-10,BUY,TP,72.47000000000037
2003-12-11,BUY,TIME_WIN,60.424999999997
2003-12-12,SELL,SL,-35.45000000000107
2003-12-15,SELL,SL,-39.349999999999795
2003-12-16,SELL,SL,-41.300000000002
2003-12-17,BUY,SL,-28.625000000000455
2003-12-18,SELL,SL,-41.949999999998
2003-12-19,SELL,TIME_WIN,31.450000000000045
2003-12-22,BUY,TP,37.13092999999981
2003-12-23,BUY,SL,-21.474999999999
2003-12-24,SELL,SL,-16.27499999999975
2003-12-25,SELL,TIME_WIN,16.874999999997954
2003-12-26,SELL,SL,-15.62500000000091
2003-12-29,SELL,TP,27.21247999999912
2003-12-30,SELL,SL,-25.37500000000057
2003-12-31,SELL,SL,-37.40000000000043
2004-01-01,SELL,TP,85.69459999999845
2004-01-02,SELL,TIME_WIN,40.29999999999825
2004-01-05,SELL,SL,-21.507499999999368
2004-01-06,BUY,TP,108.47029999999813
2004-01-07,BUY,SL,-52.34999999999934
2004-01-08,BUY,SL,-44.874999999999886
2004-01-09,SELL,SL,-80.30000000000064
2004-01-12,BUY,SL,-11.497499999999604
2004-01-13,BUY,SL,-52.34999999999934
2004-01-14,BUY,SL,-37.72499999999843
2004-01-15,BUY,SL,-60.47500000000048
2004-01-16,BUY,SL,-40.65000000000032
2004-01-19,BUY,SL,-19.557500000000005
2004-01-20,SELL,SL,-46.17500000000041
2004-01-21,SELL,TIME_LOSS,-59.59166666666624
2004-01-22,SELL,SL,-30.90000000000066
2004-01-23,BUY,SL,-38.375000000000114
2004-01-27,BUY,SL,-57.22499999999775
2004-01-28,SELL,SL,-58.850000000001955
2004-01-29,BUY,SL,-81.27500000000032
2004-01-30,BUY,SL,-59.824999999998795
2004-02-03,BUY,TP,87.8986999999986
2004-02-05,SELL,SL,-24.399999999998045
2004-02-06,SELL,SL,-40.65000000000032
2004-02-09,SELL,SL,-30.997500000001764
2004-02-10,SELL,TIME_WIN,65.84999999999661
2004-02-11,BUY,SL,-36.42500000000075
2004-02-12,SELL,TIME_WIN,16.199999999996862
2004-02-13,BUY,TP,43.81670000000122
2004-02-17,SELL,SL,-26.67499999999825
2004-02-18,SELL,SL,-50.39999999999998
2004-02-19,BUY,TP,95.24570000000006
2004-02-20,SELL,SL,-45.20000000000073
2004-02-23,BUY,SL,-27.650000000000773
2004-02-24,SELL,SL,-33.82500000000255
2004-02-25,SELL,TP,112.87850000000128
2004-02-26,BUY,TIME_WIN,8.024999999996908
2004-02-27,SELL,TP,63.653599999999756
2004-03-01,SELL,SL,-24.33500000000015
2004-03-02,BUY,SL,-56.89999999999975
2004-03-03,BUY,SL,-61.12499999999932
2004-03-04,SELL,SL,-58.525000000001114
2004-03-05,SELL,SL,-66.32500000000141
2004-03-08,BUY,SL,-11.88749999999834
2004-03-09,BUY,SL,-47.47499999999809
2004-03-10,BUY,SL,-63.39999999999952
2004-03-11,BUY,SL,-69.57499999999845
2004-03-12,SELL,TIME_WIN,151.90000000000248
2004-03-15,SELL,SL,-25.83000000000004
2004-03-16,BUY,SL,-76.72499999999991
2004-03-17,BUY,SL,-75.09999999999854
2004-03-18,BUY,SL,-65.02499999999804
2004-03-19,SELL,SL,-66.00000000000057
2004-03-22,SELL,SL,-6.7850000000001955
2004-03-23,BUY,TIME_WIN,27.991666666667015
2004-03-24,SELL,TP,77.61289999999883
2004-03-25,BUY,TIME_LOSS,-39.333333333332575
2004-03-26,BUY,SL,-38.375000000000114
2004-03-29,BUY,SL,-36.360000000000014
2004-03-30,SELL,SL,-47.79999999999893
2004-03-31,BUY,SL,-55.59999999999923
2004-04-01,SELL,TIME_WIN,17.149999999999977
2004-04-02,SELL,SL,-38.700000000000955
2004-04-05,BUY,TP,58.51069999999845
2004-04-06,SELL,SL,-44.549999999999045
2004-04-07,SELL,TIME_WIN,12.058333333333394
2004-04-08,SELL,SL,-42.27500000000168
2004-04-09,SELL,TP,105.5314999999984
2004-04-12,SELL,TP,40.14320000000191
2004-04-13,BUY,SL,-59.174999999999955
2004-04-14,SELL,SL,-46.17500000000041
2004-04-15,SELL,TIME_LOSS,-2.7833333333356904
2004-04-16,SELL,SL,-39.024999999998954
2004-04-19,SELL,SL,-15.62500000000091
2004-04-20,SELL,TP,99.65390000000036
2004-04-21,BUY,TIME_WIN,22.866666666665992
2004-04-22,SELL,SL,-50.72500000000082
2004-04-23,SELL,TP,151.08290000000204
2004-04-26,BUY,SL,-16.59999999999775
2004-04-27,SELL,SL,-35.12500000000023
2004-04-28,SELL,TIME_WIN,30.60833333333244
2004-04-29,SELL,SL,-39.999999999998636
2004-04-30,SELL,SL,-53.00000000000102
2004-05-03,BUY,SL,-12.375000000001023
2004-05-04,BUY,TP,77.61289999999883
2004-05-05,SELL,TP,111.40909999999928
2004-05-06,SELL,SL,-47.47500000000093
2004-05-07,SELL,SL,-43.575000000002206
2004-05-10,SELL,TP,65.12299999999607
2004-05-11,SELL,TIME_WIN,61.82500000000084
2004-05-12,BUY,SL,-32.19999999999834
2004-05-13,SELL,SL,-57.87499999999943
2004-05-14,SELL,TIME_LOSS,-26.508333333334576
2004-05-17,SELL,TP,50.42899999999884
2004-05-18,SELL,TIME_WIN,140.25833333333446
2004-05-19,BUY,SL,-56.89999999999975
2004-05-20,BUY,SL,-42.59999999999968
2004-05-21,BUY,TIME_LOSS,-23.48333333333221
2004-05-24,BUY,TP,50.42899999999884
2004-05-25,SELL,SL,-53.975000000000705
2004-05-26,BUY,SL,-39.999999999998636
2004-05-27,SELL,SL,-27.650000000000773
2004-05-28,BUY,SL,-39.024999999998954
2004-05-31,BUY,SL,-17.932500000001482
2004-06-01,SELL,SL,-67.62499999999909
2004-06-02,SELL,SL,-70.55000000000098
